rating,country,full_review,date,seller_rating,product_rating,shipping_rating,review_length,negative_sentiment_score,neutral_sentiment_score,positive_sentiment_score,compound_sentiment_score
4,United States,vary clean and ready to use. pleased with the airpods i am getting used to thanm subtimes they seem to have a little static. specially when listening to streaming apps.,2023-01-11,0,5,0,168,0.0,0.769,0.231,0.7964
5,United States,well. good article.,2023-02-21,0,5,0,19,0.0,0.167,0.833,0.6124
4,United States,"ensure book are working properly. the seller is fantastic and resolved my concerns. star for the following: 
 the right airpod upon receipt was not working as expressed. the sound quality was terrible, it sounded crackly, as if subthing was loos inside. i have just prescribed the replacement pod and it came like a large tip, the ogs came with medum. eleven i swapped the tip i was onable to get a good seal and it is working properly.",2022-12-04,0,5,5,436,0.035,0.814,0.15,0.8481
5,United States,great product. left ear is a little sluggish for the iphone to id id,2023-01-21,0,4,0,68,0.13,0.648,0.222,0.4005
5,United States,airpods there are really good i recommend than,2023-02-08,0,5,0,46,0.0,0.502,0.498,0.7146
4,United States,pro is great quality with sound and functionality. love the battery and noise cancellation,2023-01-04,0,5,0,90,0.0,0.591,0.409,0.8519
4,United States,would recommends. when playing music at max volume hear scratches,2022-12-30,0,4,0,65,0.0,0.684,0.316,0.4019
4,United States,"good, but cannot use noise cancellation or transparency. got these to the gym and stop dealing with the constraints of a wire. they work great for that but they did not com eut of the box perfect. the left airpod has a click sound that comes on whenever i try noise cancellation or transparency. the right one is perfectly fine. luckily, they are not features i need but it wouled've been nice if they work how they are suppared to. i tried to get help for issue from the internet and the amazon's product support, who suggested the same things i already did and the sent me to message the seller. i tried to ask about the warranty to the seller but they feel me back to amazon support. so whatover, i will deal. i still like them.",2022-09-23,5,5,0,731,0.016,0.724,0.259,0.9923
4,United States,overall good but earpiece broken. i love my airpods with their noise cancellation. always nice to sit and read a book in a noisy coffee shop and block out all the distractions with my music. my one complaint is my right airpod came with a loose rubber earpiece and it falls off often now. overall recommend saving the money with refurbished.,2022-11-21,2,2,2,341,0.218,0.607,0.175,-0.3818
5,United States,good good,2023-02-03,0,5,0,9,0.0,0.0,1.0,0.7003
4,United States,"it has good noise cancellation the only problems i had was it was used. found and i was kind of scarad to buy it beckouse everybody had sub summ looked brand new than i tried to pair them to my phone but it came up as 
 ""grandma"" so i paired them to my phone then went to my settings and change the name of the pods than i paired it to my tracker and it was as if it was brand new the noise cancella problems and fyi i got the excellents condition ... !!!",2023-02-01,0,2,2,455,0.062,0.897,0.041,-0.4812
4,United States,"love the headphones. i boought these headphones last year and they have worked great ever since i have drop them. their noise cancellation is great and you cannot hear anything after you switch it on. the sound quality and battery life is also really great. the only thing that i do not like is there is a notification on my phone about the headphones following me when i own them. i did figure out how to turn it off butat is the only thing that i did not like. oher than that minor disadvenient, the headphones are amazing.",2023-02-02,0,5,0,525,0.054,0.77,0.176,0.9536
4,United States,"solid. the noise cancellation feature is vry cool, and for people that are looking for that as a main feature in their earbuds, i think the’ll be thrilled. 
 for me, i was intersted in the sound quality and battery life, and was a little disappointed. it is by no means bad, but it also is not anything worldhattering. 
 i went from normal airpods to pros and was expecting a much significant jump in quality. there is a notable jump, but it is far from the leap i was looking for. the pros sound better, but i still find myself using my regular airpods offen becouse i prefer the fit of those over the larger silicon tips of the pros. battery life is also higher, but again, it is more of a mild improvement than a generational leap. 
 they are vley solid, but not a must buy. i think for most people, the choice between airpods and airpod pros will end up being personal taste, and which features and fit they prefer.",2022-12-12,0,5,0,919,0.019,0.847,0.135,0.9627
5,United States,buy it right now. i was a little skeptical bit at first scholause i had never bought a refurbished apple product before but i did not want to spend the almost $ 300 when i could get it for $ 150ish. it shipped really really fast like i literally got it 2 days after i bought it and i did not even pay for the expedited shipping. the noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to sub subsone else. the only thing that i did not like was that when you try to connect it to your find my iphone app ita says that there is a missing which is prohibiting it from connection but that honestly the only thing wrong with it.,2023-01-17,0,5,5,717,0.074,0.763,0.163,0.9592
5,United States,"greta product slightly dirty. everything works! the only down sid eid there was sub dirt and left over earwax on the earbud, i am assuming from testing before shipping out. but nothing rubbing alcohol cannot fix!",2023-02-15,0,2,2,212,0.107,0.893,0.0,-0.4745
4,United States,"quality vary good quality, sound is ok for mid and high notes but not much bass. battery life is great for the buds. the case can recharge a couple of times.",2023-01-26,0,5,0,157,0.0,0.753,0.247,0.8481
4,United States,"these airpods are real. i got scared after looking at the question part of the reviews and looked too see if mine were actuely reallo or not glad too see that the are, althouge i have't changed the sizes on them they came the box being the only thing that was a litte dirty",2022-12-24,0,1,1,273,0.14,0.86,0.0,-0.8063
5,United States,works perf. i have had them for at least a year now and the’ve worked solidly ever since,2023-02-16,0,3,0,88,0.0,1.0,0.0,0.0
4,United States,good but works…. everything works fine and sounds good but i hate the fact that i am unable to use them in the find my app. trid troublashooting but nohing has worked. will be returning them. you are ae a great option if you do not care to track them.,2023-01-04,0,5,5,251,0.128,0.665,0.206,0.6319
5,United States,like brand new!. i have boought all my apple products refurbished so mucheper but like brand new!,2023-02-13,0,5,0,97,0.0,0.715,0.285,0.7166
5,United States,get this !!! i thought this was a scam but it came in the box and everything .. it works just as if it was new.,2023-01-26,0,2,2,111,0.114,0.886,0.0,-0.4983
5,United States,"perfect. i had the same thing brand new but lost them as they were dead, so i cannot track them. these work as if they are brand new.",2023-01-12,0,1,1,133,0.246,0.69,0.065,-0.8201
4,United States,"good refurbished pair, not ""factory reset"" .. good refurbished pair, not ""factory reset"". had to look up and take care of this myself. otherwise, battery is ok, not factory renewed. just sumone who got rid of/sold and the subsone wiped them off and resold them in an ipods box. not bad…",2022-11-06,0,5,0,286,0.0,0.842,0.158,0.8402
5,United States,"works perf. great! i love it, do not please!",2023-01-22,0,5,0,44,0.116,0.356,0.527,0.8369
5,United States,"as described. just what i wanted, thank you!",2023-01-18,0,0,0,44,0.0,0.715,0.285,0.4199
4,United States,"attached to other persons email. it came see quick, but still attached to the person before’s email and it tracks where the airpods are and alerts me that i will have the vesie ’s airpods traveling with me me",2022-11-07,0,0,3,208,0.0,1.0,0.0,0.0
3,United States,"could not connect and returned. tried multiple ways to getse to connect with my phone, went to youtube and still notil notil. rearlet to amazon, they suggested all that i did. they weren's going to let me return but retracted. i was thankful. will not purchase a refurbished product from them again.",2023-02-07,0,5,0,299,0.0,0.887,0.113,0.7506
4,United States,"airpods are not reprogrammed to factory default .. airpods work as partnership. only issue i have is that since they were pre owned / refurbished, airpods were not return to factory setting. when i initially connected the air pods to my phone subeone’s else’s name came up. makes you wonder if the previous owner can see you on find my airpods.",2022-10-15,0,3,3,344,0.0,1.0,0.0,0.0
3,United States,one airpod faulty. i notice the right airpod having a static sound to it and also glitching out at random times. the amount i paid i should not have gotten a faulty airpod,2023-02-15,0,0,0,171,0.129,0.871,0.0,-0.5574
5,United States,best product ever !!!!!!!. i love before airpod pros and how well they work! ☺️,2023-01-12,0,5,0,79,0.0,0.45,0.55,0.94
5,United States,"skeptical at first but air pods all the way now. i have been vry happy with my new-to-me air pods pro. i was skeptical at first about ‘buying-in’ to the air pods brand. for a long time and loved my not -apple brand ear buds. these are awesome, and i am so happy and made the switch. the noise cancellation is a really cool feature. i love that my music/video automatically pauses if i take one airpod out of my ear. and being uble to interact with siri and talk-to-text is just so great, as a busy mmant tech that is completely hands-free is awesome, and i do not have to have my phone in my pocket, it coul be in the next room. i went with the pros because the shape of the ear bud fits better for me. i have never liked the fit of the traditional apple ear buds, they are not comforible for me. you are ae a better fit, although i am still having trouble with the slipping out of my ears, and i have trid changing out the different-sized cushions. this may be a personal issue, so i have experienced the same kind of slippage with other ear buds. this product is great quality for the price. the refurbished air pods were still registered to another user when the package arrived. however, my husband was able to look up how to do a factory reset, and that resolved the issue easily in minutes.",2022-07-30,5,5,5,1296,0.044,0.74,0.216,0.9962
5,United States,noise cancellation is top notch. subtimes i use these without sound just because the noise cancellaction is so effective. sound is excellent and fit is adjustable. could not be happier with them.,2022-12-30,0,5,0,195,0.066,0.646,0.287,0.8487
4,United States,left one statics when i first put it in but i honestly do not care beles it goes away instantly. battery life is good including i wear them all the time.,2022-11-13,0,5,0,153,0.088,0.713,0.2,0.6606
4,United States,sound brand new but box is scuffed. the airpods sound brand new and really are noise canceling but the box is definitely scraped up on the outsis and dirty on the inside,2022-10-24,0,0,0,169,0.103,0.802,0.095,-0.0772
5,United States,perfect .. perfect,2023-01-16,0,5,0,18,0.0,0.119,0.881,0.8126
5,United States,buy them !!! this is my second of airpods and i absolutely love them. they were shaped fast and i have not had any issues with them at all. they allow me to connect to more than one device and everything! do not think about it just order !!!,2022-12-14,0,5,5,241,0.0,0.861,0.139,0.8206
5,United States,as promised. arrived in an efficient fashion and work as promised!,2023-01-06,0,5,5,66,0.0,0.497,0.503,0.7959
3,United States,"usually have luck with renewed airpods…. we receive the product, but it was vry dirty. we get that the product is renewed, but having earwax eats along in the airpods was a little bit off putting (specially at the price). 
 connection to my phone is a little iffy, but when it does connect it is perfect. if the lower the price for this, i would say it’sa good deal.",2023-01-04,0,5,5,366,0.082,0.785,0.134,0.6428
5,United States,i am amazed these are guat. great sound quality great price,2023-01-08,0,5,0,59,0.0,0.412,0.588,0.9081
4,United States,i want to give 5 stars but… .. the only problem was that these were a gift and the box was dirty. not like wear and tear dirt but it had sub kind of purple gummy substance on it. took me a while to get off. never fully got rid of it but the pods are great!,2022-09-20,0,5,0,256,0.107,0.756,0.137,0.6107
3,United States,"hard to find if lost or stolen!. i love this airpod pro so much this is my third time buying them as they have stolen from me twice. i really wish ""findmy"" would cause it to make louder sound when lost. it is pretty a lot of impossible to tell the find my signal is coming from so do not count onable to find it supposing it was in your ear’s hearing vicinity and not altogether stolen and taken beyond subswhere else. yes i bought togee three times because they are so good but i am giving it only 3 stars becouse the findmy feature for this sucks sucks long bitter lollipops.",2022-12-06,0,1,1,577,0.149,0.732,0.119,-0.6025
4,United States,"almost good. bought it amazon renewed, came in the original box and everything with the type c to lighting port and manual. however the current airpods case just wouledn’t hold a charge or charge at all, tried different chargers but notifing worked. i even asked a cowercer and i managed to use thes case to test the current earbuds and the worked but they are pretty useles supply the case. so after work i am definitely returning them and buying new ones since the price difference is not that high.",2022-08-05,0,5,5,501,0.0,0.87,0.13,0.8923
5,United States,"best true-wireless headphones. i will need an apple fan but since getting the airpod pro's, i am committed! i have had jaybird x2 or 3, elite sport jabra, and have normal air pods in the past and was satisfied but in hindsight, nothing really compares to the in -to -to -go comfort, sound quality, and ease of use - plus the noise cancellation is impeccable! the jaybirds weren's true wireless, the jabra's were really big and had a bit of heft to them, the normal air pods were ever-so-slightly uncharted uncomforblable due to the size and they do not have noise cancellation! 
 note: i have been using an iphone for the past 2 years with an iphone xs, prior to that i had used android since the iphone 5. confirm that they work well microsoft computers for teams, zoom, and similar. 
 one thing that i will say, get a case for them, i got a case for mine but unfortunately it did not have the pairing hole, i used low-power drill to carefully drill into the case and allow for pairing with a new device, without remaving it from the case. "" save yourself to headache and time down the road!",2022-03-31,0,5,0,1092,0.014,0.84,0.147,0.9816
5,United States,"disappointed. they came super quick! but when i recueled them one did not connect with my phone. the right one connected and played music but was static, the leg time did not play at all. i tried to return them and was not uble to. thankully whoever had them before i had warranty on them sobe uble to take them to best buy and get them fixed. just kind of bummed that i spent a date amount in them and they did not work properly. thank fully they are uble to fix them. so good and bad review!",2022-10-31,0,5,5,493,0.104,0.753,0.143,0.7671
4,United States,"pretty good! sound quality is average at best and hollow at worst. it is passable for everyday usage which is what i needed however when truly want to listen to music to music i wouledn’t use tohese. the noise canceling misses to lot the higher and louder noises/sounds. the sony wfxm whatover’s are far and away better at both noise canceling and sound quality. the cambridge audio melomania 1s are even better at sound but do not feature noise canceling. where the airpod pros beat both of them, and why i like them the most, is general ease of use. they connect instantly and when i want to go one bud it does not skip a beat. the case in the perfect size and shape for wireless earbuds. they look the best in my opinion. no one will start talking you beckales they could not see your earbuds which is a hage deal for me! i love being uble to easily see the battery life, which is a bit low but totally fine, on them when they connect too which is abbrom foom the other mented buds. as far as price goes those i would only considers buying these when they are on sale or refurbished as for $ 250 they are not worth it. i purchased throch amazon renewed at $ 169 which i think was a great deal. for comparison the sony’s are about $ 220 iirc and the cambridge audios $ 99. all in all if you just need to convent okay bud and do not mind the pricese are it.",2021-05-29,0,5,5,1358,0.037,0.784,0.179,0.9921
4,United States,"worthy for purchase, a small damage in case. overall looks good. however it has a convex on the surface of airpods case",2022-10-13,0,4,0,119,0.114,0.679,0.207,0.3818
5,United States,pretty clean and appealing :). i liked how the airpods were clean and allowed me to connect to find my airpods with no one else’s i would.,2023-01-21,0,0,0,138,0.062,0.618,0.32,0.8481
5,United States,"clean, like new, real airpods. swag for being perfect condition and cheaper than new. i only bought them selese the noise canceling",2022-12-25,0,5,0,131,0.0,0.681,0.319,0.836
5,United States,excellent!!. the product is as expected. very satisfied and for a much lower price.,2022-12-26,0,5,0,83,0.107,0.535,0.359,0.7333
3,United States,"noise cancellation carries tohe. overall i would say the only goodside to these headphones is the noice cancellation, they sound vary dent but do not really get loud engash for bass enthostas at all.",2023-01-14,0,3,0,199,0.0,1.0,0.0,0.0
5,United States,condition 9.5 out of 10. condition 9.5 out of 10,2023-01-01,0,3,0,48,0.0,1.0,0.0,0.0
3,United States,strange rattling noise. my earbuds have a rattling noise when they move or play music,2023-01-27,0,0,0,85,0.105,0.756,0.14,0.1531
5,United States,"to good purchase. i really like the airpod pros. so far a great purchase. the sound quality is excellent, cancellaction is on point battery life is good but coud be just a little bit better. but all in all a great item.",2022-12-06,0,5,0,219,0.0,0.637,0.363,0.9578
5,United States,"i should have bought these sooner. i am an apple skeptic and i love these. i held off not purchasing any airpods until my powerbeats pros finally died on me and i thought i would give the airpods a chance. i am an immediate convert. my concerns was that they was not stay in my ear as i ran. their lightness makes it so that they do not risk falling out of my ears at all. i am used to needing to wraparound earbud style, but before working guter. the noise cancelling is almost too good.",2022-10-27,0,4,0,488,0.057,0.845,0.098,0.4959
5,United States,just perfect. cannot go out or to a meeting without them.,2022-12-26,0,5,0,57,0.0,0.73,0.27,0.5719
3,United States,broken the right ear did not work at all i returned them a week aunge and haveard heard anything yet and i am still waiting on my refund,2023-01-04,2,2,0,136,0.103,0.897,0.0,-0.4767
3,United States,mismatched airpods. i cannot track the location because it says that the airpods ant in the original case pretty annoying otherwise good though,2023-01-09,0,5,5,143,0.09,0.631,0.279,0.6908
4,United States,"it is a renewed item after .. could have done with sub substices or over sub subject 
 harder for an oldie to sort things out.",2022-09-04,0,0,0,126,0.0,1.0,0.0,0.0
3,United States,mysmatched pods. they work just fine and amazing quality however i was sorry mismatched pods and now i cannot track them on find my,2023-01-02,0,5,5,131,0.047,0.753,0.201,0.6486
4,United States,most of the bad reviews are on “good” or “acceptable” condition .. great for price i ordered the excellent condition for a little over $ 140 and they are pretty lots of brand new. everything in the box nothing wrong with it,2022-09-01,0,5,0,223,0.069,0.681,0.25,0.8686
5,United States,"good quality. everything needed came with it and it was clean, box was a bit dirty but it does not really matter. 
 airpods work well and connected to my phone with no issues. 
 airpods charged and case came dead but what can i do 😭🤷",2022-11-23,0,1,1,233,0.285,0.616,0.099,-0.9191
4,United States,i like it. i like how fit in my ear,2022-09-23,0,5,0,35,0.0,0.483,0.517,0.7579
5,United States,"great fit and size and sound. so i was nervous buying renewed apple. i love apple ipad and phones and wted to get buds .. and the pro’s are the way to go. let start out with the size of these .. they fit in ears better and are not as long so not sticking out so far. the buds go right in no falling out and they are kind of hard to get the tips off, so you will not lose them. they give you a couple tips for sizes. 
 now let us talk about sound ..10 .. nice bass and clarity and they let you hear people while listening to music, you can hear around you. but go i say this for the people that liste to music like i do, full blast, probablay be deaf ken i get older, but i don ~ your music is full blast may a peep. but if you keep you music at medium level and are in college, you can hear your teacher talk while listen to music. just focus .. lol 
 also, another note. charging doc or case. it great for charging than you are out in about. also i sub times like to use just 1 at a time due to i liste to loud music, so it charges one at a time, you do not hav to charge bree and i like how your phone state's battery life of bud and charger/ doc.",2021-05-13,5,5,0,1149,0.023,0.843,0.134,0.9803
5,United States,guorks great. works perfect even though they are refurbished. good value!,2022-12-18,0,5,0,73,0.0,0.343,0.657,0.9245
2,United States,"renewed is refurbished with limited warnty. read fine print .. even thought they were refurbished like new/good condition came with dents on right earbud, stopped working 3 months in after connection issues and, 8 months in the case now displays a blinking amber light which means connection issue. i have factory reset, fully charged them, and every apple sug forest fix with no luck. $ 200 for used refurbished airpod pros that last 8 months …… contact seller after 8 months with this responsibility “so sorry to hear that, your 90 day warranty for exchange is past with full warranty. you get what you pay for ... i have learned my lesson on used electronics from this seller ... ..",2023-02-21,0,1,1,685,0.087,0.879,0.034,-0.5822
4,United States,best so far. i have tried 2 oher brands and these are the beasts so far,2022-09-05,0,5,0,71,0.0,0.781,0.219,0.6369
4,United States,"do not impromend for a spoiled wife .. i boought before for my husband and he loves them! but my only issue is i think he is broken now. when i talk all i get from him is ""huh?"" ""what did you say babe?"" if you are a spoiled wife do not buy these 🤣",2022-07-31,0,4,0,247,0.062,0.83,0.108,0.4857
5,United States,works perfectly!. it works perfectly. i bought it for my daugter and she loves it and ha had no issues with it.,2022-12-05,0,5,0,111,0.065,0.5,0.435,0.9273
4,United States,good sound. good product. good product. good sound vb imports,2022-09-15,0,5,0,61,0.0,0.341,0.659,0.891
3,United States,working condition but poor battery life. disappointed. the airpods are in excellent condition but the charging case will not hold a charge for longer than a few hours.,2022-12-14,2,2,0,167,0.216,0.652,0.132,-0.5023
5,United States,"incredible! i lost my brand new apple airpod pro earphones. this was not only upsetting but it is the one thing that is not covered is lose. i also coul not afford another brand new pair. i saw the refurbished apple airpod pro and the price was great. i watched a youtube “trvis mcp review and he was not a apple fan, but raved about the refurbished air pod pro. i am so pleased not only is the unfortunate sound it is submohow better with my last apple air pod pro. thank you sellers they are great",2022-09-08,0,5,5,499,0.067,0.703,0.23,0.9727
5,United States,"money well spent. i was hesitant to purchase the airpod pros at first, but as soon began to use them, i realized it was a worthy investment. i use them almost everyday, and they make my life a lot of more exciting. as a college student, i wear them walking across campus while i listen to upbeat music in between stressful classses. i will put them in my ears and turn on a song, and it makes me feel like i am in a movie. they help to put my mind at ease and unwind. the noise-cancelling feature is mind-boggling given the size and comfort compare to other noise-cancelling headphones. i have shown my grandparents, and they were in awe of the quality of sound and comfort. additionionally, the case is practical to carry with me and the battery life to time charging ratio makes them readily avaliable to use.",2022-05-13,0,5,5,811,0.034,0.811,0.155,0.9672
5,United States,"awesome, could not live without them. i use them all the time for school, watching shows, and just listening to music or scrolling on tiktok. the sound quality is really good and perfect for everyday use. people say not to trust the refurbished products but mine came wrapped and perfectly good, but with a cheaper price",2022-10-23,0,5,5,320,0.027,0.729,0.244,0.9425
3,United States,not clean. over all the air pods work definitely i got them renewed in “excellent” quality. when i order that i expect to barely be aable to tell that they have been out of the box before or maybe have been used one or twice. when i got mine the first thing i noticped was the outsiside was sticky. as if there was an adhesive from a prior prior sticker. that was annoying definitely but the worst part was when i opened the air pods and look at one and insides the ear bud there was ear wax…. there was also ear wax in the bottom of the holders for the ear buds. over there am disappointed and disgusting. i did a deep clean myself and i hope no one else have to clean out strangers ear wax.,2022-08-09,0,1,0,692,0.127,0.782,0.09,-0.7923
3,United States,"vary cheap airpods. problems after 6 months. they work great. and for being refurbished were a steal for high quality airpods. i gotym for under $ 100 at the time. 
 but after 6 months, the right-me i did sub troublashooting with apple support. long story short, because they were out of the apple 1 year warranty, institute for 1 replacement airpod - submitthing like $ 85 - i would have to replace all 3 devices (2 airpods and the charging case) for $ 257. that costs more than a brand new set of airpod pros. 
 so, you get what you pay for i guess. i had high quality airpods for half the price for 6 months. now i just have 1. i will keep using it unte the left-side one malfunctions. it all balances out i suppos. but next time i will be getting them brand new and with the extended warranty.",2022-07-12,0,5,0,797,0.034,0.907,0.058,0.7003
5,United States,"genuine apple product. purchased a pair of ""refurbs"" from a different site, and the turned out to be counterfeit. i was vary happy with this pair, ace they work great and look brand new.",2022-11-16,0,5,0,186,0.0,0.804,0.196,0.8316
2,United States,"expecta better for the price. these were refurbished which means subalone else found them faulty and sentate back. now they are problems all they did was clean them up and resell them (to me). the battery life was good, the sound quality was dent, but i started noticing a buzzing sound about 6 months later. i do not use them often so i was surprised to discover this problem so soon. another few months of use and now i am discovering more problems like a lot of static and the sound on the left pod going in and out. what is more surprising is the fact that i boought these to replace cheaper pair of non-apple air pods that actually worked better. i paid apple prices but got cheap quality. never buy refurbished again. notice they use the word renewed insert of refurbished in their product description. i would not pay $ 79 for tose but insered paid $ 179.",2022-12-18,0,5,5,862,0.065,0.821,0.114,0.7826
4,United States,"does not worll outside of apple ecosystem. excellent product overall but does notim to work very whel outside of the apple ecosystem. 
 tried using this product on my pc work computer and my coworkers can barely hear me on zoom meotings. i also have a lot of trouble getting the right earpod to connect to my phone which is a samsung galaxy. 
 after careful research, it is best to have an iphone and a mac when using this product.",2022-05-10,0,5,0,431,0.04,0.847,0.113,0.7579
4,United States,"they are good .. they connect even though they are in its case, so when i am watching a video or subject, they randomly connect even though i am not even using them, this happens at least 3 times a day",2022-07-22,0,4,4,201,0.0,0.932,0.068,0.4404
3,United States,"nope. the little white rubber ear pieces come off in my ear almost every time i take them out, no matter the size thumbs down.",2022-11-28,0,3,0,126,0.043,0.957,0.0,-0.0191
4,United States,really good sound quality but do not fit in my ears. it has submant scratches but it is to be expectted everything works fine the sound quality is good as the noise canceling. the only problem is the they fall out of my ear and i have used all three different tips.,2022-07-07,0,4,0,265,0.101,0.766,0.133,0.2338
3,United States,"sent broken left airpod, returning. when i got my airpods i was beyond excited. i pure them on, turned on a podcast, and automatically i heard popping in my left ear. i followed all of apple’s recommendations for fixing the issue and nothing worked. i see other people in this thread are having the same problem. if the seller does not remedy this i will have to purchase from another seller.",2022-10-17,0,1,1,392,0.076,0.892,0.031,-0.5267
5,United States,"better than expected .. they live up to the hype. great sound quality and they fit well, really enjoying the noise transparency and noise cancellation features. only complaint i wouled have is not being uble to toggy the two noise features without going through the bluetooth settings. overall vray happy with these.",2022-10-09,5,5,0,316,0.033,0.68,0.287,0.9501
5,United States,good purchase. good purchase,2022-12-10,0,5,0,28,0.0,0.256,0.744,0.7003
1,United States,"updated review - decent product, horrible seller. would like to clarify - the initial review was 5 stars and still holds up with rens to the product itself, but the new 1 star review is due to a a a a a few things. for starters, the initial pair of airpods ceased to play audio on the left side, feet charging overnight and several remarts. 'no big deal, i will send them back for a replacement', i thought. i did, and today and i prescribed to 'replacement' consisting of an empty airpod pro box. do not marry, not obvious tamper protection (the initial pair had tape on the box, this had absolute nothing so clearly subsone had already rifled through it) - absolutely pathettic showing. i purchased this refurbished pair from 'a4c online' and would like to tell anyone looking at this review now to stay away from them. the text of the initial review has been preserved below for posterity and scholause i still agree that the airpods themselves are an excellent product; but do yourself in favor and buy from subsone else, specifically apple directly if you can afford the extra cost. 
 ----------------------- 
 bought for my are to replace pair of airpod 1s he had for two years which stopped holding a charge on right earbud, i will let him write this review. 
 'i am typically not an apple person. in fact, i am literally using these on a samsung phone. i have always taken apple products to be shoddy or lower to oher brands, but usually more expensive due to the brand recognition. i got a pair of original airpods for free from a friend who would upgraed, so i figured i might as well use them. they served well for a coupling yars but had a lot of minor flaws that st ” hours? could just be baser they were used, but still), really poor build quality, unintuitive controls for playing, pausing, etc. these solve every problem i had, and honestly blew my mind. the quality is a noticable step up - not incredible, but definitely more than you would expect from earbuds of this size. they fit vray snugly in the ears and do not fall out easily at all. the anc noise cancellation is amazing, you literally cannot hear any other background noises. the battery life is long and i am still not sure how long it lasts, i had a and playing for at least 3 or 4 hours and i did not even get a low battery warning. since we got before at a bit of a discount (roughly $ 168 due tose being renewed), i am absolutily 100% happy with the price to quality ratio. $ 200 for them direct from apple is a bit, but $ 150- $ 170 is a good price. you will not regret buying to pair of airpod pros! '",2021-10-02,5,5,5,2587,0.064,0.813,0.123,0.988
5,United States,audio go brrrrrr. absurdly abominable deviouly good audio,2022-12-06,0,4,0,57,0.0,0.707,0.293,0.4404
3,United States,does not work well. does not work well,2022-12-14,0,2,0,38,0.377,0.623,0.0,-0.3875
3,United States,presentation of airpods. so the airpods work and function great. no complaints on functionity whatsoever. my biggest issue is that i boought the excellent condition airpods as advertise and they were delivered we very bad scratches and scffs on the charging case box front and rear. i had thought by choking the excellents condition option (which costs more) that there was not visible scratch marks on the current pods or charging case.,2022-10-03,0,4,4,437,0.081,0.799,0.12,0.5048
