username,rating,initial_statement,country,verified,review,usefulness,date,positive
Allison,5,Skeptical at first but air pods all the way now,United States,1,"I have Been Vray Happy with My New-to-Me Air Pods Pro. I was skeptical at First About ‘Buying-In’ to The Air Pods Brand. For a long time and loved my not -apple brand ear Buds. These are awesome, and i am so happy and made the switch. The Noise Cancellation is a Really Cool Feature. I love that my music/Video Automatically Pauses If I Take One Airpod Out of My Ear. And being uble to interact with siri and talk-to-text is just so great, as a busy mm having tech that is Completely Hands-Free is awesome, and i don't have to have my phone in my pocket, it could be in the Next Room. I Went With The Pros Because The Shape of The Ear Bud Fits Better for Me. I have Never Liked The Fit of the Traditional Apple Ear Buds, They are not comforible for me. You are a better fit, Although I am Still Having Trouble With The Slipping out of My Ears, and I have tried changing out the different-sized cushions. This may be personnel issue, so I have experienced the Same Kind of slippage with other ear Buds. This product is great quality for the price. The Refurbished Air Pods Were Still Registered to Another User When the Package Arrived. However, My Husband Was Uble to Look Up How to do a Factory Reset, and that resolved the issue Easily In Minute.",24,2022-07-30,1
Robert J McGowan,5,Noise Cancellation Is Top Notch,United States,1,Subtimes I use these Without Sound Just Because The Noise Cancellation is SO Effective. Sound is excellent and fit is adjustable. Couldn’t Be Happier with Them.,0,2022-12-30,1
Tilly Yules,4,Left One Statics When I First Put It In But i Honestly Don’t Care Beles It Goes Away Instantly,United States,1,Battery Life is good including i wear them all the time.,0,2022-11-13,1
Brooke Ebel,4,Sound Brand New But Box Is Scuffed,United States,1,The Airpods Sound Brand New and Really Are Noise Canceling But The Box is definitely Scraped Up On The Outsis and Dirty On The Inside,0,2022-10-24,1
Crystal,5,Perfect.,United States,1,Perfect,0,2023-01-16,1
Kat Hughes,5,Buy Them !!!,United States,1,This is my second pair of airpods and I Absolutely Love Them. They were shaped fast and i Haven’t Had Any issues With Them at all. They Allow Me to Connect to More than One Device and Eventhing! Don’t Think About It Just Order !!!,1,2022-12-14,1
Tracy McCollister,5,As promised,United States,1,Arrived in an efficient fashion and work as promised!,0,2023-01-06,1
Marcus Jackson,3,Usually Have Luck with Renewed Airpods ...,United States,1,"We Receive The Product, But It Was Vry Dirty. We get that the product is renewed, But Having Earwax eats Along in the Airpods was a little bit off putting (specially at the price). 
 Connection to my phone is a little iFFy, But when it does Connect it’s perfect. If the Lower The Price for This, I Would Say It’sa Good Deal.",0,2023-01-04,0
Rachel Kennedy,5,I’m Amazed these are guat,United States,1,Great Sound Quality Great Price,0,2023-01-08,1
Joi Smith,4,I want to give 5 stars but….,United States,1,The Only Problem Was That these were a Gift and the Box Was Dirty. Not Like Wear and Tear Dirt But It Had Sub Kind of Purple Gummy Substance On It. Took me a while to get off. Never Fully Got Rid of It But the Pods Are Great!,2,2022-09-20,1
Kamahana,3,Hard to find if lost or stolen!,United States,1,"I love This Airpod pro so much This is my third time buying them as they have stolen from me twice. I really wish ""Findmy"" Would cause it to make Louder Sound When Lost. It’s pretty a lot of impossible to tell the find my signal is coming from so don’t count onable to find it supposing it was in your ear’s hearing vicinity and not AltoGether Stolen and Taken Beyond Somowhere Else. YES I BOUGHT TOGEE THREE Times Because they are so good but I am giving it Only 3 Stars Because The Findmy Feature for this SUCKS LARGE BITTER LOLLIPOPS.",0,2022-12-06,0
500 pc,4,ALMOST GOOD,United States,1,"Bought it Amazon Renewed, Came in the original Box and Everything with the Type C To Lighting Port and Manual. However The current Airpods Case Just Wouldn’t Hold A Charge or Charge At All, TRIED DIFFERENT CHARGERS BUT NOCHING WORKED. I EVEN ASKED A COWERCER AND I MANAGED TO USE THES CASE TO TEST THE CURRENT EARBUDS AND THE WORKED BUT THES PRETTY USELSESES WITHOUT THE CASE. So after work i’m definitely returning Them and buying new ones since the price different isn’t that high.",1,2022-08-05,1
Wade Crawford,5,Best True-Wireless Headphones,United States,1,"I have Never Been An Apple Fan But Since Getting The Airpod Pro's, I am Committed! I have had Jaybird X2 or 3, Elite Sport Jabra, and have normal air pods in the past and was satisfied but in Hindsight, nothing really compares to the in -ar comfort, Sound Quality, and ease of use - plus the noise cancellation is impeccable! The Jaybirds Weren's True Wireless, The Jabra's Were Really Big and Had A Bit of Heft to Them, The Normal Air Pods were Ever-So-Slightly Uncomforable Due to The Size and They Don´t Have Noise Cancellation! 
 Note: I Have Been Using An iPhone For The Past 2 Years With An iPhone XS, Prior to That I Had Used Android Since The iPhone 5. I Try To Switch Every Few Years But Have Heard That It Works Great With Android, And I Can Confirm that they work Well Microsoft Computers For Teams, Zoom, and similar. 
 One Thing That I Will Say, Get A Case For Them, I GOT A Case for Mine But Unfortunately it Didn't Have The Pairing Hole, I used Low-Power Drill to Carefully Drill into the case and allow for pairing with a new Device, Without Remaving it from the case. "" Save Yourself to Headache and Time Down The Road!",1,2022-03-31,1
Kaylee Hupp,5,Disappointed,United States,1,"They came super quick! But When I Received Them One Did Not Connect with My Phone. The Right One Connected and Played Music But Was Static, The Leg Time Did Not Play at All. I tried to return them and wasn’t uble to. Thankully Whoever Had Them Before I had a warnty on them sobe uble to take them to best buy and get them fixed. Just Kinda Bummed That I spent a Dent Amount in Them and They Didn’t Work Properly. Thankully they are uble to fix them. So good and bad review!",6,2022-10-31,1
Alex Joy,4,Pretty Good!,United States,1,"Sound Quality Is Average at Best and Hollow at Worst. It’s passable for Everyday usage which is What i Needed However I Really Truly Want to listen to Play to Music I Wouledn’t UseSe these. The Noise Canceling Misses A Lot The Higher and Louder Noises/Sounds. The Sony WFXM What’s Are Far and Away Better at Both Noise Canceling and Sound Quality. The Cambridge Audio Melomania 1S Are Even Better At Sound But Don’t Feature Noise Canceling. WHERE THE AIRPOD PROS BeAT Both of them, and WHY I Like Them The Most, is General Ease of Use. They Connect Instantly and When I want to go one bud it doesn’t skip a Beat. The Case in the Perfect Size and Shape for Wireless Earbuds. They look the best in my opinion. No One Will Start Talking You Because They Couldn’t See Your Earbuds which is a Hage Deal for Me! I Love Being Uble to Easily See The Battery Life, Which is a bit low but Totally Fine, On Them when they connect too white is absent from the other mentioned Buds. As Far as Price Goes Those I’d Only Considers Buying these When they’re on Sale or Refurbished as for $ 250 they are not worth it. I PURCHASED THROCH Amazon Renewed at $ 169 Which I Think Was A Great Deal. For Comparison The Sony’s are about $ 220 IIRC and the Cambridge Audios $ 99. All in all if you just need to convent okay Bud and Don’t Mind the Price these are it.",0,2021-05-29,1
Zengyi Sun,4,"Worthy for Purchase, A Small Damage in Case",United States,1,Overall Looks Good. However it has a small convex on the surface of airpods case,0,2022-10-13,1
Quintin,5,Pretty Clean and Appealing :),United States,1,I Liked How The Airpods Were Clean and Allowed Me To Connect To Find My Airpods With No One Else’s I’d.,0,2023-01-21,1
Gavin LaFleche,5,"Clean, Like New, Real Airpods",United States,1,Swag for Being Perfect Condition and Cheaper Than New. I ONLY BOUGHT THEM SELESE THE NOISE CANCELING,1,2022-12-25,1
Christian,5,Excellent!!,United States,1,The product is as expected. Very satisfied and for a much lower price.,0,2022-12-26,1
Clay Cordary,3,Noise Cancellation Carries these,United States,1,"Overall i'd Say The Only Good Side toSe Headphones is the noise cancellation, They Sound Vary Dent But Don't Really Get Loud Enough for Bass Enthostas At All.",0,2023-01-14,0
nicolas,5,Condition 9.5 out of 10,United States,1,Condition 9.5 out of 10,0,2023-01-01,1
Sydney Beattie,3,Strange Rattling Noise,United States,1,My Earbuds have a rattling noise when they move or play music,0,2023-01-27,0
Wanda Derua,5,To Good Purchase,United States,1,"I REALLY Like The Airpod Pros. So far a great purchase. The Sound Quality is Excellent, Cancellaction is on Point Battery Life is Good But Could Be Just A Little Bit Better. But all in all a great item.",3,2022-12-06,1
JR,5,I Should've Bought These Sooner,United States,1,"I am an Apple Skeptic and I Love before. I Held Off Not Purchasing Any Airpods Until My Powerbeats pros finally died on me and i thought i'd give the airpods a chance. I am an immediate convert. My concerns Was that they would not stay in my Ear as i ran. Their Lightness Makes It So That They Do Not Risk Falling Out of My Ears At All. I am used to needing to Wraparound Earbud Style, but before working guter. The Noise Cancelling is Almost Too Good.",9,2022-10-27,1
VE-642267 Francisco Arleo,5,Just perfect,United States,1,Can't go out or to a Meeting Without Them.,0,2022-12-26,1
Michelle S,3,Broken,United States,1,The Right Ear Didn't Work at All I Returned Them A Week AUnge and Haveard Heard Anything Yet and I'M STILL WAITING ON MY REFUSE,0,2023-01-04,0
Sky,3,Mismatched Airpods,United States,1,I Cant Track The Location Because It Says That The Airpods Aren's,0,2023-01-09,0
Russ,4,It is a renewed item after.,United States,1,"Could Have Done With Sub Substices or Over Sub Subject 
 Harder for an Oldie to Sort Things out.",4,2022-09-04,1
Jasmine,3,Mysmatched Pods,United States,1,They work just fine and Amazing Quality However I was sorry mismatched pods and now i can't track them on find my,0,2023-01-02,0
Brittany,4,"Most of the Bad Reviews are on ""Good"" or ""Acceptable"" Condition.",United States,1,Great for Price I Ordered The Excellents condition for a little over $ 140 and they are pretty lots of new. Everything in the box nothing wrong with it,4,2022-09-01,1
anonymously,5,Good Quality,United States,1,"Everything Needed Came With It and It Was Clean, Box Was A Bit Dirty But It Doesn't Really Matter. 
 Airpods Work Well and Connected to My Phone With No Issues. 
 AirPods Charged and Case Came Dead But What Can I Do 😭🤷",4,2022-11-23,1
Alex Monroy,4,I Like it,United States,1,I Like How Fit In My Ear,0,2022-09-23,1
Gina,5,Great Fit and Size and Sound,United States,1,"So i was Nervous Buying Renewed Apple. I Love Apple iPad and Phones and Wanted to Get Buds .. and The Pro’s Are The Way To Go. Let Start Out With The Size of these .. they fit in Ears Better and Aren’t as long so not sticking out so far. The Buds Go Right in No Falling Out and They Are Kind of Hard To Get The Tips Off, So You Won’t Lose Them. They Give You A Couple Tips For Sizes. 
 Now Let’s Talk About Sound ..10 .. Nice Bass and Clarity and They Let You Hear People While Listening to Music, You Can Hear Around You. But go i say this for the people that liste to music like i do, full blast, probablay be deaf when i Get Older, but i don´t care what they say about you hear everyday, no .. so you can hear alittle when when Your Music Is Full Blast May A Peep. But if you keep you music at medium Level and are in College, You Can Hear Your Teacher Talk While Listen to Music. Just Focus .. Lol 
 Also, Another Note. CHARGING DOC OR CASE. It great for charging than you are out in about. Also I Sub Times Like To Use Just 1 At A Time Due to I liste to Loud Music, So it charges one at a time, you don't hav to charge bot and i like how your phone state's battery life of Bud and Charger/ doc.",0,2021-05-13,1
Rachael Brown,5,Gors great,United States,1,Works Perfect Even Though they are refurbished. Good Value!,1,2022-12-18,1
Steven rice,2,Renewed is refurbished with limited warnty. Read fine print.,United States,1,"Even Thought they were Refurbished Like New/Good Condition With Dents on Right Earbud, Stopped Working 3 Months in After Connection Issues And, 8 Months in The Case Now Displays A Blinking Amber Light Which Means Connection Issue. I’ve Factory Reset, Fully Charged Them, and Every Apple Sug forest Fix with no Luck. $ 200 for used Refurbished Airpod pros that last 8 months …… Contact seller After 8 months with This Response With Full Warranty. You get What You Pay for ... i’ve Learned My Lesson On Used Electronics From This Seller ... ..",0,2023-02-21,0
chet d.,4,Best so far,United States,1,I have tried 2 oher brands and before the best you,0,2022-09-05,1
Megan Grigsby,4,Do not Impromend for a spoiled wife.,United States,1,"I boought these for my husband and he loves them! But my only issue is i think he's broken now. WHEN I TALK ALL I GET FROM HIM IS ""HUH?"" ""What'd You Say Babe?"" If you're a spoiled wife do not buy before 🤣",16,2022-07-31,1
Valerie,5,Works Perfectly!,United States,1,It Works Perfectly. I BOUGHT IT FOR MY DAUGTER AND SHE LOVES IT AND HA HAD NO ISSUES WITH IT.,0,2022-12-05,1
Vinicio Bolanos,4,Good sound. Good product,United States,1,Good product. Good sound VB imports,0,2022-09-15,1
Mason,3,Working condition but poor battery life,United States,1,Disappointed. The Airpods are in Excellent Condition But the Charging Case Won't Hold A Charge For Longer Than A Few Hours.,0,2022-12-14,0
Robert P. Hansen,5,Incredible!,United States,1,"I Lost My Brand New Apple Airpod Pro Earphones. This was not only upsetting but it’s the one that is not covered is lose. I Also Coul Not Afford Another Brand New Pair. I SAW THE REFURBISHED APPLE AIRPOD PRO AND THE PRICE WAS GREAT. I Watched a YouTube “Trvis Mcp Review and He was not A Apple Fan, But Raved About The Refurbished Air Pod Pro. I am so pleased not only is the unfortunate Sound it’s submohow better with my last apple air pod pro. Thank You Sellers They’re Great",6,2022-09-08,1
Skyler Beatty,5,Money Well Spent,United States,1,"I was hesitant to purchase The Airpod Pros at First, but as Soon Began to use them, I realized it was a Worthy Investment. I use them almost everyday, and they make my life a lot of more exciting. As a College Student, I Wear Them Walking Across Campus While I Listen to Upbeat Music in Between Stressful Classses. I Will Put Them in My Ears and Turn On a Song, and It Makes Me Feel Like I Am In a Movie. They help to put my mind at ease and unwind. The Noise-Cancelling Feature is mind-bogling given the size and comfort compared to other noise-challeling headphones. I have Shown My Grandparents, and They Were In Awe of the Quality of Sound and Comfort. Additionionally, The Case is practical to Carry with Me and the Battery Life to Time Charging Ratio Makes Them Readily Avaliable To Use.",0,2022-05-13,1
Elliana,5,"Awesome, Couldn’t Live Without Them",United States,1,"I use them all the time for school, watching shows, and just listening to music or scrolling on Tiktok. The Sound Quality Is Really Good and Perfect for Everyday Use. People Say Not To Trust The Refurbished Products But Mine Came Wrapped and Perfectly Good, But With A Cheaper Price",1,2022-10-23,1
Dylan,3,Not Clean,United States,1,Over All The Air Pods Work Definitely and Got Them Renewed in “Excellent” Quality. WHEN I ORDER THAT I EXPECT TO BARELY BE ABLE TO TELL THAT they have out of the Box Before Or Maybe Have Been used one or twice. WHEN I GOT MINE The First Thing I Noticped Was The Outside Was Sticky. As if there was an adhesive from a prior prior sticker. That was annoying definitely but the worst part was when i opened the air pods and looked at One and Inside The Ear Bud There Was Ear Wax…. There Was Also Ear Wax in the Bottom of the Holders for The Ear Buds. Over all i am disappointed and disgusting. I did a Deep Clean myself and i hope no one else you have to clean out Strangers Ear Wax.,2,2022-08-09,0
Amazon Customer,3,Vary Cheap Airpods. PROBLEMS AFTER 6 months,United States,1,"They work great. And for Being Refurbished Were A Steal for High Quality Airpods. I GOT THEM FOR Under $ 100 at The Time. 
 But After 6 months, The Right-Meet Airpod Stopped Working Entirely. I DID SUB TROUBLASHOOTING with Apple Support. Long Story Short, Because they were out of the Apple 1 Year Warranty, Insttead of Paying for 1 Replacement Airpod - Subject Hing Like $ 85 - I Would have to replace All 3 Devices (2 Airpods and the Charging Case) for $ 257. That Costs More than A Brand New Set of Airpod Pros. 
 So, You get what you pay for i guess. I had high qualy Airpods for Half the Price for 6 months. Now i Just have 1. i'll keep using it unnile the left-side one malfuncctions. It all balances out i Suppos. But Next Time I'll Be Getting Them Brand New and with The Extended Warranty.",1,2022-07-12,0
Kayalynn5683,5,Genuine Apple Product,United States,1,"Purchaseed to Pair of ""Refurbs"" from a Different Site, and They Turned Out to Be Counterfeit. I was Vary Happy with This Pair, as they work great and look brand new.",0,2022-11-16,1
Richard L,2,EXPECTED BETTER FOR THE PRICE,United States,1,"These were Refurbished Which Means Subsone Else Found Them Faulty and Sentate Back. Now they are problems all they Did Was Clean Them Up and Resell Them (to me). The Battery Life Was Good, The Sound Quality Was Dent, But i Started Noticing A Buzzing Sound About 6 Months Later. I Don't Use Them Often So i was Surprised to Discover This Problem So Soon. Another Few Months of Use and Now I'M Discovering More Problems Like A Lot of Static and the Sound On The Left Pod Going In and Out. What's More Surprising is the fact that I boought to replace Cheaper Pair of Non-Apple Air Pods That Actually Worked Better. I Paid Apple Prices But Got Cheap Quality. Never Buy Refurbished Again. Notice they use the word renewed insert of refurbished in their product description. I WOLDN'T PAY $ 79 FORSE BUT INSERAD PAID $ 179.",0,2022-12-18,0
