username,rating,initial_statement,country,verified,review,usefulness,date,positive
Mike E,4,Very clean and ready to ise,United States,1,Pleased with the AirPods I am getting used to them sometimes they seem to have a little static. Especially when listening to streaming apps.,3,2023-01-11,1
Lila,5,Bueno,United States,1,Buen artículo.,0,2023-02-21,1
Kiki,4,Ensure both are working properly,United States,1,"The seller is fantastic and resolved my concerns. Removing a star for the following:
The right AirPod upon receipt was not working as expected. The sound quality was terrible, it sounded crackly, as if something was loose inside. I have just received the replacement pod and it came with a large tip, the ogs came with medium. Once I swapped the tip I was able to get a good seal and it’s working properly.",4,2022-12-04,1
kiesha,5,Great product,United States,1,Left ear is a little sluggish for the iPhone to identify that it has been with air pods and vest sound on the right side but other than that great noise cancellation and great sound,1,2023-01-21,1
Denise Tzintzun,5,AirPods,United States,1,There are really good I recommend them,0,2023-02-08,1
Conrad S.,4,Pro is great quality with sound and functionality,United States,1,Love the battery and noise cancellation,0,2023-01-04,1
Jack,4,Would recommend,United States,1,When playing music at max volume hear scratches,1,2022-12-30,1
brendan,4,"good, but cant use noise cancellation or transparency",United States,1,"Got these to go to the gym and stop dealing with the constraints of a wire. They work great for that but they didn't come out of the box perfect. The left AirPod has a clicking sound that comes on whenever I try noise cancellation or transparency. The right one is perfectly fine. Luckily, they're not features I NEED but it would've been nice if they worked how they're supposed to. I tried to get help for issue from the Internet and then Amazon's Product Support, who suggested the same things I already did and then sent me to message the seller. I tried to ask about the warranty to the seller but they sent me back to Amazon support. So whatever, I will deal. I still like them.",14,2022-09-23,1
Trust Me,4,Overall good but earpiece broken,United States,1,I love my AirPods with their noise cancelation. Always nice to sit and read a book in a noisy coffee shop and block out all the distractions with my music. My one complaint is my right AirPod came with a loose rubber earpiece and it falls off often now. Overall recommend saving the money with refurbished.,3,2022-11-21,1
Dawit,5,Good,United States,1,Good,0,2023-02-03,1
Asia underwood,4,It has good noise cancellation the only problem i had was it was under another persons name.,United States,1,"so when I bought these , I knew what i wanted specificallyand that was AirPods pros but I wanted it to be as cheap as possible this was the one I found And I was kinda scared to buy it because everybody had something to say about the product and I order January 26 and it came on the 31'st when I got it the box was a little beat up but when I opened up my AirPods it looked brand new then I tried to pair them to my phone but it came up as
"" grandma "" so I paired them to my phone then went to my settings and change the name of the pods then I paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no problems and FYI I got the excellent condition...!!!",7,2023-02-01,1
Katie,4,Love these Headphones,United States,1,"I bought these headphones last year and they have worked great ever since I have gotten them. Their noise cancellation is great and you can't hear anything after you switch it on. The sound quality and battery life is also really great. The only thing that I don't like is there is a notification on my phone about the headphones following me when I own them. I did figure out how to turn it off but that is the only thing that I didn't like. Other than that minor inconvenience, the headphones are amazing.",6,2023-02-02,1
Sean Connolly,4,Solid,United States,1,"The noise cancellation feature is very cool, and for people that are looking for that as a main feature in their earbuds, I think they’ll be thrilled.
For me, I was more interested in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything world shattering.
I went from normal AirPods to Pros and was expecting a much more significant jump in quality. There is a noticeable jump, but it is far from the leap I was looking for. The Pros sound better, but I still find myself using my regular AirPods often because I prefer the fit of those over the larger silicon tips of the Pros. Battery life is also higher, but again, it’s more of a mild improvement than a generational leap.
They’re very solid, but not a must buy. I think for most people, the choice between AirPods and Airpod Pros will end up being personal taste, and which features and fit they prefer.",6,2022-12-12,1
Michelle,5,BUY IT RN,United States,1,i was a little bit skeptical at first because i had never bought a refurbished apple product before but i didnt want to spend the almost $300 when i could get it for $150ish. it shipped really really fast like i literally got it 2 days after i bought it and i didnt even pay for the expedited shipping. The noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to someone else. The only thing tho that i didnt like was that when you try to connect it to your find my iphone app it says that there's a part missing which is prohibiting it from connecting but that's honestly the only thing wrong with it.,7,2023-01-17,1
Jayden,5,Greta product slightly dirty,United States,1,"Everything works! The only down sid Eid there was some dirt and left over earwax on the earbud, I’m assuming from testing before shipping out. But nothing rubbing alcohol can’t fix!",0,2023-02-15,1
Trevor Jordan,4,Quality,United States,1,"Very good quality, sound is ok for mid and high notes but not much bass. Battery life is great for the buds. The case can recharge a couple of times.",3,2023-01-26,1
Savana,4,These AirPods are real,United States,1,"I got scared after looking at the question part of the reviews and looked too see if mine were actually real or not glad too see that they are, although they do keep pausing my video and stuff I think that’s just because they’re falling out since I haven’t changed the sizes on them they came clean the box being the only thing that was a litte dirty",4,2022-12-24,1
Giovany,5,Works perfect,United States,1,I’ve had them for at least a year now and they’ve worked solidly ever since,0,2023-02-16,1
Me,4,Works good but…,United States,1,Everything works fine and sounds good but I hate the fact that I’m unable to use them in the find my app. Tried troubleshooting but nothing has worked. Will be returning them. These are a great option if you do not care to track them.,5,2023-01-04,1
Janina,5,Like brand new!,United States,1,I have bought all my Apple products refurbished so much cheaper but like brand new!,0,2023-02-13,1
Ralph,5,Get this!!! I thought this was a scam but it Came in the box and everything.,United States,1,It works just as if it was new.,0,2023-01-26,1
Summer Bush,5,Perfect,United States,1,"I had the same thing brand new but lost them as they were dead, so I can’t track them. These work as if they’re brand new.",0,2023-01-12,1
Kevin,4,"Good refurbished pair, not “factory reset”.",United States,1,"Good refurbished pair, not “factory reset”. Had to look it up and take care of this myself. Otherwise, battery is ok, not factory renewed. Just someone who got rid of/sold and then someone wiped them off and resold them in an iPods box. Not bad….",4,2022-11-06,1
Chulpan,5,Works perfect,United States,1,"Great! I love it, no complaints!",0,2023-01-22,1
Gwen Allen,5,as described,United States,1,"just what I wanted, thank you!",0,2023-01-18,1
Katherine Casey,4,attached to other persons email,United States,1,"it came very quick ,but still attached to the person before’s email and it tracks where the airpods are and alerts me that i have someone else’s airpods traveling with me",6,2022-11-07,1
Ris,3,Could not connect and returned,United States,1,"Tried multiple ways to get these to connect with my phone, went to YouTube and still nothing helped. Reached out to Amazon, they suggested all that I did. They weren't going to let me return but retracted. I was thankful. Won't purchase a refurbished product from them again.",0,2023-02-07,0
rail*,4,AirPods are not reprogrammed to factory default.,United States,1,"AirPods work as expected. Only issue I have is that since they were pre owned / refurbished, AirPods were not returned to factory setting. When I initially connected the air pods to my phone someone’s else’s name came up. Makes you wonder if the previous owner can see you on Find My AirPods.",9,2022-10-15,1
noah waterhouse,3,one airpod faulty,United States,1,i notice the right airpod having a static sound to it and also glitching out at random times. the amount i paid i shouldn’t have gotten a faulty airpod,0,2023-02-15,0
Desta Kimathi,5,BEST PRODUCT EVER!!!!!!!,United States,1,I love these Airpod Pros and how well they work! ☺️,0,2023-01-12,1
Allison,5,Skeptical at first but Air pods all the way now,United States,1,"I have been very happy with my new-to-me Air pods pro. I was skeptical at first about ‘buying-in’ to the Air pods brand. For a long time I loved my not-Apple brand ear buds. These are awesome, and I am so happy I made the switch. The noise cancellation is a really cool feature. I love that my music/video automatically pauses if I take one airpod out of my ear. And being able to interact with Siri and talk-to-text is just so great, as a busy mom having tech that is completely hands-free is awesome, and I don’t have to have my phone in my pocket, it could be in the next room. I went with the pros because the shape of the ear bud fits better for me. I have never liked the fit of the traditional Apple ear buds, they are not comfortable for me. These ones are a better fit, although I am still having trouble with them slipping out of my ears, and I have tried changing out the different-sized cushions. This may be a personal issue, as I have experienced the same kind of slippage with other ear buds. This product is great quality for the price. The refurbished air pods were still registered to another user when the package arrived. However, my husband was able to look up how to do a factory reset, and that resolved the issue easily in minutes.",24,2022-07-30,1
Robert J McGowan,5,Noise cancellation is top notch,United States,1,Sometimes I use these without sound just because the noise cancellation is so effective. Sound is excellent and fit is adjustable. Couldn’t be happier with them.,0,2022-12-30,1
Tilly Yules,4,Left one statics when I first put it in but I honestly don’t care because it goes away instantly,United States,1,Battery life is good including I wear them all the time.,0,2022-11-13,1
Brooke Ebel,4,sound brand new but box is scuffed,United States,1,The airpods sound brand new and really are noise canceling but the box is definitely scraped up on the outside and dirty on the inside,0,2022-10-24,1
Crystal,5,Perfect.,United States,1,Perfect,0,2023-01-16,1
Kat Hughes,5,Buy them!!!,United States,1,This is my second pair of AirPods and I absolutely love them. They were shipped fast and I haven’t had any issues with them at all. They allow me to connect to more than one device and everything! Don’t think about it just order!!!,1,2022-12-14,1
Tracy McCollister,5,As promised,United States,1,Arrived in an efficient fashion and work as promised!,0,2023-01-06,1
Marcus Jackson,3,Usually have luck with renewed airpods…,United States,1,"We received the product, but it was very dirty. We get that the product is renewed, but having earwax come along in the airpods was a little bit off putting (especially at the price).
Connection to my phone is a little iffy, but when it does connect it’s perfect. If the lower the price for this, i would say it’sa good deal.",0,2023-01-04,0
Rachel Kennedy,5,I’m amazed THESE ARE GREAT,United States,1,Great sound quality GREAT PRICE,0,2023-01-08,1
Joi Smith,4,I want to give 5 stars but….,United States,1,The only problem was that these were a gift and the box was dirty. Not like wear and tear dirt but it had some kind of purple gummy substance on it. Took me a while to get off. Never fully got rid of it but the pods are great !,2,2022-09-20,1
Kamahana,3,Hard to find if lost or stolen!,United States,1,I love this airpod pro so much this is my third time buying them as they have been stolen from me twice. I really wish “findmy” would cause it to make a louder sound when lost. It’s pretty much impossible to tell where the find my signal is coming from so don’t count on being able to find it supposing it was in your ear’s hearing vicinity and not altogether stolen and taken beyond somewhere else. Yes I bought these three times because they are so good BUT I am giving it only 3 stars because the findmy feature for this sucks large bitter lollipops.,0,2022-12-06,0
500 pc,4,Almost good,United States,1,"Bought it Amazon renewed, came in the original box and everything with the type c to lighting port and manual. However the actual AirPods case just wouldn’t hold a charge or charge at all , tried different chargers but nothing worked . I even asked a coworker and I managed to use their case to test the actual earbuds and they worked but they’re pretty useless without the case . So after work I’m definitely returning them and buying new ones since the price difference isn’t that high.",1,2022-08-05,1
Wade Crawford,5,Best True-Wireless Headphones,United States,1,"I have never been an Apple fan but since getting the AirPod Pro's, I am committed! I have had Jaybird X2 or 3, Jabra Elite Sport, and have used normal Air Pods in the past and was satisfied but in hindsight, nothing really compares to the in-ear comfort, sound quality, and ease of use - plus the noise cancellation is impeccable! The Jaybirds weren't true wireless, the Jabra's were really big and had a bit of heft to them, the normal Air Pods were ever-so-slightly uncomfortable due to the size and they don't have noise cancellation!
Note: I have been using an iPhone for the past 2 years with an iPhone XS, prior to that I had used Android since the iPhone 5. I try to switch every few years but have heard that it works great with Android, and I can confirm that they work well with Microsoft Computers for Teams, Zoom, and similar.
One thing that I will say, get a case for them, I got a case for mine but unfortunately it didn't have the pairing hole, I used a low-power drill to carefully drill into the case and allow for pairing with a new device, without removing it from the case. (3M adhesive on the interior of the case proved near impossible to remove the case - which is a good thing I suppose!) If you do get a case, either ensure that it has a hole for that, or do-it-yourself to save yourself a headache and time down the road!",1,2022-03-31,1
Kaylee Hupp,5,Disappointed,United States,1,"They came super quick! But when I received them one did not connect with my phone. The right one connected and played music but was static, the leg time did not play at all. I tried to return them and wasn’t able to. Thankfully whoever had them before me had a warranty on them so we were able to take them to Best Buy and get them fixed. Just kinda bummed that I spent a decent amount in them and they didn’t work properly. Thankfully they are able to fix them. So good and bad review!",6,2022-10-31,1
Alex Joy,4,Pretty good!,United States,1,"Sound quality is average at best and hollow at worst. It’s passable for everyday usage which is what I needed however when I really truly want to listen deeply to music I wouldn’t use these. The noise canceling misses a lot the higher and louder noises/sounds. The Sony wfxm whatever’s are far and away better at both noise canceling and sound quality. The Cambridge Audio Melomania 1s are even better at sound but don’t feature noise canceling. Where the AirPod Pros beat both of them, and why I like them the most, is general ease of use. They connect instantly and when I want to go to one bud it doesn’t skip a beat. The case in the perfect size and shape for wireless earbuds. They look the best in my opinion. No one will start talking you because they couldn’t see your earbuds which is a huge deal for me! I love being able to easily see the battery life, which is a bit low but totally fine, on them when they connect too which is absent from the other mentioned buds. As far as price goes those I’d only consider buying these when they’re on sale or refurbished as for $250 they are not worth it. I purchased through Amazon renewed at $169 which I think was a great deal. For comparison the Sony’s are about $220 iirc and the Cambridge audios $99. All in all if you just need a convenient okay bud and don’t mind the price these are it.",0,2021-05-29,1
Zengyi Sun,4,"Worthy for purchase, a small damage in case",United States,1,Overall looks good. However it has a small convex on the surface of AirPods case,0,2022-10-13,1
Quintin,5,Pretty clean and appealing :),United States,1,I liked how the AirPods were clean and allowed me to connect to find my AirPods with no one else’s I’d.,0,2023-01-21,1
Gavin LaFleche,5,"Clean, like new, real AirPods",United States,1,Swag for being perfect condition and cheaper than new. I only bought them because the noise canceling,1,2022-12-25,1
Christian,5,Excelente!!,United States,1,El producto es tal cual esperaba. Muy satisfecho y por un precio mucho más bajo.,0,2022-12-26,1
Clay Cordary,3,Noise Cancellation Carries These,United States,1,"Overall I'd say the only goodside to these headphones is the noice cancellation, they sound very decent but don't really get loud enough for bass enthusiasts at all.",0,2023-01-14,0
nicolas,5,Condition 9.5 out of 10,United States,1,Condition 9.5 out of 10,0,2023-01-01,1
Sydney Beattie,3,Strange Rattling Noise,United States,1,My earbuds have a rattling noise when they move or play music,0,2023-01-27,0
Wanda Derua,5,A good purchase,United States,1,"I really like the AirPod Pros. So far a great purchase. The sound quality is excellent, cancellation is on point battery life is good but could be just a little bit better. But all in all a great item.",3,2022-12-06,1
JR,5,I Should've Bought These Sooner,United States,1,"I am an Apple skeptic and I love these. I held off not purchasing any AirPods until my PowerBeats Pros finally died on me and I thought I'd give the AirPods a chance. I am an immediate convert. My concern was that they would not stay in my ear as I ran. Their lightness makes it so that they do not risk falling out of my ears at all. I am used to needing a wraparound earbud style, but these worked great. The noise cancelling is almost too good.",9,2022-10-27,1
VE-642267 Francisco Arleo,5,Just perfect,United States,1,Can't go out or to a meeting without them.,0,2022-12-26,1
Michelle S,3,Broken,United States,1,The right ear didn't work at all I returned them a week ago and haven't heard anything yet and I'm still waiting on my refund,0,2023-01-04,0
Sky,3,mismatched airpods,United States,1,i cant track the location because it says that the airpods arent in the original case pretty annoying otherwise good though,0,2023-01-09,0
Russ,4,It is a renewed item after all.,United States,1,"Could have done with some instructions or over some documentation -all I got was the storage box/charging cable in a plastic bag.
Harder for an oldie to sort things out.",4,2022-09-04,1
Jasmine,3,Mismatched pods,United States,1,They work just fine and amazing quality however I was sent mismatched pods and now I can’t track them on find my,0,2023-01-02,0
Brittany,4,Most of the bad reviews are on “good” or “acceptable” condition.,United States,1,Great for price i ordered the excellent condition for a little over $140 and they are pretty much brand new. everything in the box nothing wrong with it,4,2022-09-01,1
anonymously,5,good quality,United States,1,"everything needed came with it and it was clean, box was a bit dirty but it doesn't really matter.
airpods work well and connected to my phone with no issues.
airpods charged and case came dead but what can i do 😭🤷",4,2022-11-23,1
Alex Monroy,4,I like it,United States,1,I like how fit in my ear,0,2022-09-23,1
Gina,5,Great fit and size and sound,United States,1,"So I was nervous buying renewed apple. I love apple ipad and phones and wanted to get buds.. and the pro’s are the way to go. Let start out with the size of these.. they fit in ears better and aren’t as long so not sticking out so far. The buds go right in no falling out and they are kind of hard to get the tips off, so you won’t lose them. They give you a couple tips for sizes.
Now let’s talk about sound ..10.. nice bass and clarity and they let you hear people while listening to music, you can hear around you. But now I say this for the people that listen to music like I do, full blast, probably be deaf when I get older, but I don’t care what they say about you hear everything, NO.. so you can hear alittle when your music is full blast may a peep. But if you keep you music at medium level and are in college, you can hear your teacher talk while listen to music. Just focus.. LOL
Also, another note. Charging doc or case. It great for charging them when you are out in about. Also I some times like to use just 1 at a time due to I listen to loud music, so it charges one at a time, you don’t hav to charge both and I like how your phone state’s battery life of bud and charger/doc.",0,2021-05-13,1
Rachael Brown,5,Works great,United States,1,Works perfect even though they are refurbished. Good value!,1,2022-12-18,1
Steven rice,2,Renewed is refurbished with limited warranty. Read fine print.,United States,1,"Even thought they were refurbished like new/good condition came with dents on right earbud, stopped working 3 months in after connection issues and, 8 months in the case now displays a blinking amber light which means connection issue. I’ve factory reset, fully charged them, and every Apple suggested fix with no luck. $200 for used refurbished AirPod pros that last 8 months……contacted seller after 8 months with this response “SO sorry to hear that, your 90 day warranty for exchange is past” you decide if you’d rather shell out the extra to buy new with a full warranty. You get what you pay for… I’ve learned my lesson on used electronics from this seller…..",0,2023-02-21,0
chet d.,4,Best so far,United States,1,I have tried 2 other brands and these are the best ones so far,0,2022-09-05,1
Megan Grigsby,4,Do not recommend for a spoiled wife.,United States,1,"I bought these for my husband and he LOVES them! BUT my only issue is I think he's broken now. When I talk all I get from him is ""huh?"" ""What'd you say babe?"" If you're a spoiled wife DO NOT buy these 🤣",16,2022-07-31,1
Valerie,5,Works perfectly!,United States,1,It works perfectly. I bought it for my daughter and she loves it and has had no issues with it.,0,2022-12-05,1
Vinicio Bolanos,4,Buen sonido. Buen product,United States,1,Buen producto. Buen sonido VB importaciones,0,2022-09-15,1
Mason,3,Working condition but poor battery life,United States,1,Disappointed. The airpods are in excellent condition but the charging case won't hold a charge for longer than a few hours.,0,2022-12-14,0
Robert P. Hansen,5,Incredible!,United States,1,"I lost my brand new apple airpod pro earphones. This was not only upsetting but it’s the one thing that is not covered is lose. I also could not afford another brand new pair. I saw the refurbished Apple airpod pro and the price was great . I watched a YouTube “TRVIS MCP review and he was not a apple fan ,but raved about the refurbished air pod pro. I am so pleased not only is the sound incredible it’s somehow better with my last apple air pod pro. Thank you sellers they’re great",6,2022-09-08,1
Skyler Beatty,5,Money well spent,United States,1,"I was hesitant to purchase the AirPod Pros at first, but as soon I as began to use them, I realized it was a worthy investment. I use them almost everyday, and they make my life much more exciting. As a college student, I wear them walking across campus while I listen to upbeat music in between stressful classes. I will put them in my ears and turn on a song, and it makes me feel like I am in a movie. They help to put my mind at ease and unwind. The noise-cancelling feature is mind-boggling given the size and comfort compared to other noise-cancelling headphones. I have shown my grandparents, and they were in awe of the quality of sound and comfort. Additionally, the case is practical to carry with me and the battery life to time charging ratio makes them readily avaliable to use.",0,2022-05-13,1
Elliana,5,"awesome, couldn’t live without them",United States,1,"i use them all the time for school, watching shows, and just listening to music or scrolling on tiktok. the sound quality is really good and perfect for everyday use. people say not to trust the refurbished products but mine came wrapped and perfectly good, but with a cheaper price",1,2022-10-23,1
Dylan,3,Not clean,United States,1,Over all the air pods work definitely I got them renewed in “excellent” quality. When I order that I expect to barely be able to tell that they have been out of the box before or maybe have been used one or twice. When I got mine the first thing I noticed was the outside was sticky. As if there was an adhesive from a previous sticker. That was annoying definitely but the worst part was when I opened the air pods and looked at one and inside the ear bud there was ear wax…. There was also ear wax in the bottom of the holders for the ear buds. Over all I am disappointed and disgusting. I did a deep clean myself and I hope no one else has to clean out strangers ear wax.,2,2022-08-09,0
Amazon Customer,3,Very cheap airpods. Problems after 6 months,United States,1,"They work great. And for being refurbished were a steal for high quality airpods. I got them for under $100 at the time.
But after 6 months, the right-side airpod stopped working entirely. I did some troubleshooting with Apple support. Long story short, because they were out of the Apple 1 year warranty, instead of paying for 1 replacement airpod - something like $85 - I would have to replace all 3 devices (2 airpods and the charging case) for $257. That costs more than a brand new set of Airpod Pros.
So, you get what you pay for I guess. I had some high quality Airpods for half the price for 6 months. Now I just have 1. I'll keep using it until the left-side one malfunctions. It all balances out I suppose. But next time I'll be getting them brand new and with the extended warranty.",1,2022-07-12,0
Kayalynn5683,5,Genuine Apple Product,United States,1,"Purchased a pair of ""refurbs"" from a different site, and they turned out to be counterfeit. I was very happy with this pair, as they work great and look brand new.",0,2022-11-16,1
Richard L,2,Expected better for the price,United States,1,"These were refurbished which means someone else found them faulty and sent them back. Now they are problem as all they did was clean them up and resell them (to me). The battery life was good, the sound quality was decent, but I started noticing a buzzing sound about 6 months later. I don't use them often so I was surprised to discover this problem so soon. Another few months of use and now I'm discovering more problems like a lot of static and the sound on the left pod going in and out. What's more surprising is the fact that I bought these to replace a cheaper pair of non-apple air pods that actually worked better. I paid Apple prices but got cheap quality. NEVER buy refurbished again. Notice they use the word RENEWED instead of refurbished in their product description. I wouldn't pay $79 for these but instead paid $179.",0,2022-12-18,0
Dane,4,Does not work well outside of Apple ecosystem,United States,1,"Excellent product overall but does not seem to work very well outside of the Apple ecosystem.
Tried using this product on my pc work computer and my coworkers can barely hear me on Zoom meetings. I also have a lot of trouble getting the right earpod to connect to my phone which is a Samsung Galaxy.
After careful research, it's best to have an iPhone and a Mac when using this product.",0,2022-05-10,1
Gerry Bashaw,4,They are good.,United States,1,"They connect even though they are in its case, so when I'm watching a video or something, they randomly connect even though I'm not even using them, this happens at least 3 times a day",7,2022-07-22,1
Jarrod worlie,3,Nope,United States,1,"The little white rubber ear pieces come off in my ear almost every time I take them out, no matter the size Thumbs down.",0,2022-11-28,0
Rayyan,4,Really good sound quality but don’t fit in my ears,United States,1,It has some scratches but it’s to be expected everything works fine the sound quality is good as well as the noise canceling. The only problem is the they fall out of my ear and i have used all three different tips.,2,2022-07-07,1
Avery Pearl II,3,"Sent Broken Left AirPod, Returning",United States,1,"When I got my AirPods I was beyond excited. I put them on, turned on a podcast, and automatically I heard popping in my left ear. I followed all of Apple’s recommendations for fixing the issue and nothing worked. I seen other people in this thread are having the same problem. If the seller doesn’t remedy this I’ll have to purchase from another seller.",0,2022-10-17,0
Amazon Customer,5,Better than expected.,United States,1,"They live up to the hype. Great sound quality and they fit well, really enjoying the noise transparency and noise cancellation features. Only complaint I would have is not being able to toggle the two noise features without going through the Bluetooth settings. Overall very happy with these.",2,2022-10-09,1
Adolfo martinez,5,Buena compra,United States,1,Buena compra,0,2022-12-10,1
Fernando,1,"UPDATED REVIEW - Decent product, horrible seller",United States,1,"WOULD LIKE TO CLARIFY -- The initial review was 5 stars and still holds up with regards to the product itself, but the new 1 star review is due to a few things. For starters, the initial pair of Airpods ceased to play audio on the left side, despite charging overnight and several restarts. 'No big deal, I'll send them back for a replacement', I thought. I did, and today I received a 'replacement' consisting of an EMPTY AIRPOD PRO BOX. No case, no obvious tamper protection (the initial pair had tape on the box, this had absolutely nothing so clearly someone had already rifled through it) -- absolutely pathetic showing. I purchased this refurbished pair from 'A4C Online' and would like to tell anyone looking at this review now to STAY AWAY FROM THEM. The text of the initial review has been preserved below for posterity and because I still agree that the Airpods themselves are an excellent product; but do yourself a favor and buy from someone else, specifically Apple directly if you can afford the extra cost.
-----------------------
Bought for my son to replace a pair of Airpod 1s he had for two years which stopped holding a charge on right earbud, I'll let him write this review.
'I'm typically not an Apple person. In fact, I'm literally using these on a Samsung phone. I've always taken Apple products to be shoddy or inferior to other brands, but usually more expensive due to the brand recognition. I got a pair of original Airpods for free from a friend who'd upgraded, so I figured I might as well use them. They served well for a couple years but had a lot of minor flaws that stacked up into big annoyances altogether -- major noise bleed (I could hear EVERYTHING outside my headphones if something wasn't playing), subpar battery life (about 3-4 hours? Could just be because they were used, but still), really poor build quality, unintuitive controls for playing, pausing, etc. These solve EVERY PROBLEM I had, and honestly blew my mind. The quality is a noticeable step up -- not incredible, but definitely more than you'd expect from earbuds of this size. They fit very snugly in the ears and don't fall out easily at all. The ANC noise cancellation is AMAZING, you literally can't hear any other background noises. The battery life is LONG and I'm still not sure how long it lasts, I had these on and playing for at least 3 or 4 hours and I didn't even get a low battery warning. Since we got these at a bit of a discount (roughly $168 due to these being renewed), I am absolutely 100% happy with the price to quality ratio. $200 for them direct from Apple is a bit much, but $150-$170 is a good price. You will not regret buying a pair of Airpod Pros!'",4,2021-10-02,0
zinky,5,Audio go brrrrrrrr,United States,1,Absurdly abominable deviously good audio,1,2022-12-06,1
Cristian bautista,3,Doesn’t work well,United States,1,Doesn’t work well,0,2022-12-14,0
Emmanuel Omoighe,3,Presentation of Airpods,United States,1,So the AirPods work and function great. No complaints on functionality whatsoever. My biggest issue is that I bought the excellent condition AirPods as advertised and they were delivered we very bad scratches and scuffs on the charging case both front and rear. I had thought by choosing the excellent condition option (which costs more) that there would be no visible scratch marks on the actual pods or charging case.,2,2022-10-03,0
Bugrahan Kutlu,3,One good one bad,United States,1,"I got 2 airpods pro refurbished and one of them wasnt working well. Even in 1 meter it wasnt connecting well. While my phone in my pocket, when i cover my phone with my hand or with something else sound was literally stopping. Its too annoying. So i did refund it.
When it comes to second one, it was okay at least lets say so for so good",0,2022-10-01,0
Joe A Schmidt,4,Good product,United States,1,Solid refurbished product. So far works and performs well,5,2022-08-08,1
Margaret A Goliak,3,Never Factory Reset,United States,1,"Works great, but the location is being shared with previous owner and we cannot figure out how to reset it.",0,2022-11-15,0
Kali,5,Just so good in general,United States,1,Probably the best thing I bought for $160 for renewal. Noise cancellation is really great AND the sound quality is good. The ear buds last pretty long and when you put the ear bud back in the case it takes about 10 mins to be fully charged. Well worth the $160.,2,2022-09-18,1
