username_name,username_rating,username_inital_statement,username_country,username_verified,username_review,username_usefulness
Asia underwood,4.0 out of 5 stars,It has good noise cancellation the only problem i had was it was under another persons name.,"Reviewed in the United States 🇺🇸 on February 1, 2023",Verified Purchase,"so when I bought these , I knew what i wanted specificallyand that was AirPods pros but I wanted it to be as cheap as possible this was the one I found And I was kinda scared to buy it because everybody had something to say about the product and I order January 26 and it came on the 31'st when I got it the box was a little beat up but when I opened up my AirPods it looked brand new then I tried to pair them to my phone but it came up as
"" grandma "" so I paired them to my phone then went to my settings and change the name of the pods then I paired it to my tracker and it was as if it was brand new the noise cancellation is great and they didn't have no problems and FYI I got the excellent condition...!!!",7 people found this helpful
Katie,4.0 out of 5 stars,Love these Headphones,"Reviewed in the United States 🇺🇸 on February 2, 2023",Verified Purchase,"I bought these headphones last year and they have worked great ever since I have gotten them. Their noise cancellation is great and you can't hear anything after you switch it on. The sound quality and battery life is also really great. The only thing that I don't like is there is a notification on my phone about the headphones following me when I own them. I did figure out how to turn it off but that is the only thing that I didn't like. Other than that minor inconvenience, the headphones are amazing.",6 people found this helpful
Sean Connolly,4.0 out of 5 stars,Solid,"Reviewed in the United States 🇺🇸 on December 12, 2022",Verified Purchase,"The noise cancellation feature is very cool, and for people that are looking for that as a main feature in their earbuds, I think they’ll be thrilled.
For me, I was more interested in the sound quality and battery life, and was a little disappointed. It is by no means bad, but it also isn’t anything world shattering.
I went from normal AirPods to Pros and was expecting a much more significant jump in quality. There is a noticeable jump, but it is far from the leap I was looking for. The Pros sound better, but I still find myself using my regular AirPods often because I prefer the fit of those over the larger silicon tips of the Pros. Battery life is also higher, but again, it’s more of a mild improvement than a generational leap.
They’re very solid, but not a must buy. I think for most people, the choice between AirPods and Airpod Pros will end up being personal taste, and which features and fit they prefer.",6 people found this helpful
Michelle,5.0 out of 5 stars,BUY IT RN,"Reviewed in the United States 🇺🇸 on January 17, 2023",Verified Purchase,i was a little bit skeptical at first because i had never bought a refurbished apple product before but i didnt want to spend the almost $300 when i could get it for $150ish. it shipped really really fast like i literally got it 2 days after i bought it and i didnt even pay for the expedited shipping. The noise cancellation works perfectly and the airpods are in perfect condition and it even came in the original box so you could totally gift these to someone else. The only thing tho that i didnt like was that when you try to connect it to your find my iphone app it says that there's a part missing which is prohibiting it from connecting but that's honestly the only thing wrong with it.,7 people found this helpful
Jayden,5.0 out of 5 stars,Greta product slightly dirty,"Reviewed in the United States 🇺🇸 on February 15, 2023",Verified Purchase,"Everything works! The only down sid Eid there was some dirt and left over earwax on the earbud, I’m assuming from testing before shipping out. But nothing rubbing alcohol can’t fix!",
Trevor Jordan,4.0 out of 5 stars,Quality,"Reviewed in the United States 🇺🇸 on January 26, 2023",Verified Purchase,"Very good quality, sound is ok for mid and high notes but not much bass. Battery life is great for the buds. The case can recharge a couple of times.",3 people found this helpful
Savana,4.0 out of 5 stars,These AirPods are real,"Reviewed in the United States 🇺🇸 on December 24, 2022",Verified Purchase,"I got scared after looking at the question part of the reviews and looked too see if mine were actually real or not glad too see that they are, although they do keep pausing my video and stuff I think that’s just because they’re falling out since I haven’t changed the sizes on them they came clean the box being the only thing that was a litte dirty",4 people found this helpful
Giovany,5.0 out of 5 stars,Works perfect,"Reviewed in the United States 🇺🇸 on February 16, 2023",Verified Purchase,I’ve had them for at least a year now and they’ve worked solidly ever since,
Me,4.0 out of 5 stars,Works good but…,"Reviewed in the United States 🇺🇸 on January 4, 2023",Verified Purchase,Everything works fine and sounds good but I hate the fact that I’m unable to use them in the find my app. Tried troubleshooting but nothing has worked. Will be returning them. These are a great option if you do not care to track them.,5 people found this helpful
Janina,5.0 out of 5 stars,Like brand new!,"Reviewed in the United States 🇺🇸 on February 13, 2023",Verified Purchase,I have bought all my Apple products refurbished so much cheaper but like brand new!,
Ralph,5.0 out of 5 stars,Get this!!! I thought this was a scam but it Came in the box and everything.,"Reviewed in the United States 🇺🇸 on January 26, 2023",Verified Purchase,It works just as if it was new.,
Summer Bush,5.0 out of 5 stars,Perfect,"Reviewed in the United States 🇺🇸 on January 12, 2023",Verified Purchase,"I had the same thing brand new but lost them as they were dead, so I can’t track them. These work as if they’re brand new.",
Kevin,4.0 out of 5 stars,"Good refurbished pair, not “factory reset”.","Reviewed in the United States 🇺🇸 on November 6, 2022",Verified Purchase,"Good refurbished pair, not “factory reset”. Had to look it up and take care of this myself. Otherwise, battery is ok, not factory renewed. Just someone who got rid of/sold and then someone wiped them off and resold them in an iPods box. Not bad….",4 people found this helpful
Chulpan,5.0 out of 5 stars,Works perfect,"Reviewed in the United States 🇺🇸 on January 22, 2023",Verified Purchase,"Great! I love it, no complaints!",
Gwen Allen,5.0 out of 5 stars,as described,"Reviewed in the United States 🇺🇸 on January 18, 2023",Verified Purchase,"just what I wanted, thank you!",
Katherine Casey,4.0 out of 5 stars,attached to other persons email,"Reviewed in the United States 🇺🇸 on November 7, 2022",Verified Purchase,"it came very quick ,but still attached to the person before’s email and it tracks where the airpods are and alerts me that i have someone else’s airpods traveling with me",6 people found this helpful
Ris,3.0 out of 5 stars,Could not connect and returned,"Reviewed in the United States 🇺🇸 on February 7, 2023",Verified Purchase,"Tried multiple ways to get these to connect with my phone, went to YouTube and still nothing helped. Reached out to Amazon, they suggested all that I did. They weren't going to let me return but retracted. I was thankful. Won't purchase a refurbished product from them again.",
rail*,4.0 out of 5 stars,AirPods are not reprogrammed to factory default.,"Reviewed in the United States 🇺🇸 on October 15, 2022",Verified Purchase,"AirPods work as expected. Only issue I have is that since they were pre owned / refurbished, AirPods were not returned to factory setting. When I initially connected the air pods to my phone someone’s else’s name came up. Makes you wonder if the previous owner can see you on Find My AirPods.",9 people found this helpful
noah waterhouse,3.0 out of 5 stars,one airpod faulty,"Reviewed in the United States 🇺🇸 on February 15, 2023",Verified Purchase,i notice the right airpod having a static sound to it and also glitching out at random times. the amount i paid i shouldn’t have gotten a faulty airpod,
Desta Kimathi,5.0 out of 5 stars,BEST PRODUCT EVER!!!!!!!,"Reviewed in the United States 🇺🇸 on January 12, 2023",Verified Purchase,I love these Airpod Pros and how well they work! ☺️,
Allison,5.0 out of 5 stars,Skeptical at first but Air pods all the way now,"Reviewed in the United States 🇺🇸 on July 30, 2022",Verified Purchase,"I have been very happy with my new-to-me Air pods pro. I was skeptical at first about ‘buying-in’ to the Air pods brand. For a long time I loved my not-Apple brand ear buds. These are awesome, and I am so happy I made the switch. The noise cancellation is a really cool feature. I love that my music/video automatically pauses if I take one airpod out of my ear. And being able to interact with Siri and talk-to-text is just so great, as a busy mom having tech that is completely hands-free is awesome, and I don’t have to have my phone in my pocket, it could be in the next room. I went with the pros because the shape of the ear bud fits better for me. I have never liked the fit of the traditional Apple ear buds, they are not comfortable for me. These ones are a better fit, although I am still having trouble with them slipping out of my ears, and I have tried changing out the different-sized cushions. This may be a personal issue, as I have experienced the same kind of slippage with other ear buds. This product is great quality for the price. The refurbished air pods were still registered to another user when the package arrived. However, my husband was able to look up how to do a factory reset, and that resolved the issue easily in minutes.",24 people found this helpful
Robert J McGowan,5.0 out of 5 stars,Noise cancellation is top notch,"Reviewed in the United States 🇺🇸 on December 30, 2022",Verified Purchase,Sometimes I use these without sound just because the noise cancellation is so effective. Sound is excellent and fit is adjustable. Couldn’t be happier with them.,
Tilly Yules,4.0 out of 5 stars,Left one statics when I first put it in but I honestly don’t care because it goes away instantly,"Reviewed in the United States 🇺🇸 on November 13, 2022",Verified Purchase,Battery life is good including I wear them all the time.,
Brooke Ebel,4.0 out of 5 stars,sound brand new but box is scuffed,"Reviewed in the United States 🇺🇸 on October 24, 2022",Verified Purchase,The airpods sound brand new and really are noise canceling but the box is definitely scraped up on the outside and dirty on the inside,
Crystal,5.0 out of 5 stars,Perfect.,"Reviewed in the United States 🇺🇸 on January 16, 2023",Verified Purchase,Perfect,
Kat Hughes,5.0 out of 5 stars,Buy them!!!,"Reviewed in the United States 🇺🇸 on December 14, 2022",Verified Purchase,This is my second pair of AirPods and I absolutely love them. They were shipped fast and I haven’t had any issues with them at all. They allow me to connect to more than one device and everything! Don’t think about it just order!!!,One person found this helpful
Tracy McCollister,5.0 out of 5 stars,As promised,"Reviewed in the United States 🇺🇸 on January 6, 2023",Verified Purchase,Arrived in an efficient fashion and work as promised!,
Marcus Jackson,3.0 out of 5 stars,Usually have luck with renewed airpods…,"Reviewed in the United States 🇺🇸 on January 4, 2023",Verified Purchase,"We received the product, but it was very dirty. We get that the product is renewed, but having earwax come along in the airpods was a little bit off putting (especially at the price).
Connection to my phone is a little iffy, but when it does connect it’s perfect. If the lower the price for this, i would say it’sa good deal.",
Rachel Kennedy,5.0 out of 5 stars,I’m amazed THESE ARE GREAT,"Reviewed in the United States 🇺🇸 on January 8, 2023",Verified Purchase,Great sound quality GREAT PRICE,
Joi Smith,4.0 out of 5 stars,I want to give 5 stars but….,"Reviewed in the United States 🇺🇸 on September 20, 2022",Verified Purchase,The only problem was that these were a gift and the box was dirty. Not like wear and tear dirt but it had some kind of purple gummy substance on it. Took me a while to get off. Never fully got rid of it but the pods are great !,2 people found this helpful
Kamahana,3.0 out of 5 stars,Hard to find if lost or stolen!,"Reviewed in the United States 🇺🇸 on December 6, 2022",Verified Purchase,I love this airpod pro so much this is my third time buying them as they have been stolen from me twice. I really wish “findmy” would cause it to make a louder sound when lost. It’s pretty much impossible to tell where the find my signal is coming from so don’t count on being able to find it supposing it was in your ear’s hearing vicinity and not altogether stolen and taken beyond somewhere else. Yes I bought these three times because they are so good BUT I am giving it only 3 stars because the findmy feature for this sucks large bitter lollipops.,
500 pc,4.0 out of 5 stars,Almost good,"Reviewed in the United States 🇺🇸 on August 5, 2022",Verified Purchase,"Bought it Amazon renewed, came in the original box and everything with the type c to lighting port and manual. However the actual AirPods case just wouldn’t hold a charge or charge at all , tried different chargers but nothing worked . I even asked a coworker and I managed to use their case to test the actual earbuds and they worked but they’re pretty useless without the case . So after work I’m definitely returning them and buying new ones since the price difference isn’t that high.",One person found this helpful
Wade Crawford,5.0 out of 5 stars,Best True-Wireless Headphones,"Reviewed in the United States 🇺🇸 on March 31, 2022",Verified Purchase,"I have never been an Apple fan but since getting the AirPod Pro's, I am committed! I have had Jaybird X2 or 3, Jabra Elite Sport, and have used normal Air Pods in the past and was satisfied but in hindsight, nothing really compares to the in-ear comfort, sound quality, and ease of use - plus the noise cancellation is impeccable! The Jaybirds weren't true wireless, the Jabra's were really big and had a bit of heft to them, the normal Air Pods were ever-so-slightly uncomfortable due to the size and they don't have noise cancellation!
Note: I have been using an iPhone for the past 2 years with an iPhone XS, prior to that I had used Android since the iPhone 5. I try to switch every few years but have heard that it works great with Android, and I can confirm that they work well with Microsoft Computers for Teams, Zoom, and similar.
One thing that I will say, get a case for them, I got a case for mine but unfortunately it didn't have the pairing hole, I used a low-power drill to carefully drill into the case and allow for pairing with a new device, without removing it from the case. (3M adhesive on the interior of the case proved near impossible to remove the case - which is a good thing I suppose!) If you do get a case, either ensure that it has a hole for that, or do-it-yourself to save yourself a headache and time down the road!",One person found this helpful
Kaylee Hupp,5.0 out of 5 stars,Disappointed,"Reviewed in the United States 🇺🇸 on October 31, 2022",Verified Purchase,"They came super quick! But when I received them one did not connect with my phone. The right one connected and played music but was static, the leg time did not play at all. I tried to return them and wasn’t able to. Thankfully whoever had them before me had a warranty on them so we were able to take them to Best Buy and get them fixed. Just kinda bummed that I spent a decent amount in them and they didn’t work properly. Thankfully they are able to fix them. So good and bad review!",6 people found this helpful
Alex Joy,4.0 out of 5 stars,Pretty good!,"Reviewed in the United States 🇺🇸 on May 29, 2021",Verified Purchase,"Sound quality is average at best and hollow at worst. It’s passable for everyday usage which is what I needed however when I really truly want to listen deeply to music I wouldn’t use these. The noise canceling misses a lot the higher and louder noises/sounds. The Sony wfxm whatever’s are far and away better at both noise canceling and sound quality. The Cambridge Audio Melomania 1s are even better at sound but don’t feature noise canceling. Where the AirPod Pros beat both of them, and why I like them the most, is general ease of use. They connect instantly and when I want to go to one bud it doesn’t skip a beat. The case in the perfect size and shape for wireless earbuds. They look the best in my opinion. No one will start talking you because they couldn’t see your earbuds which is a huge deal for me! I love being able to easily see the battery life, which is a bit low but totally fine, on them when they connect too which is absent from the other mentioned buds. As far as price goes those I’d only consider buying these when they’re on sale or refurbished as for $250 they are not worth it. I purchased through Amazon renewed at $169 which I think was a great deal. For comparison the Sony’s are about $220 iirc and the Cambridge audios $99. All in all if you just need a convenient okay bud and don’t mind the price these are it.",
Zengyi Sun,4.0 out of 5 stars,"Worthy for purchase, a small damage in case","Reviewed in the United States 🇺🇸 on October 13, 2022",Verified Purchase,Overall looks good. However it has a small convex on the surface of AirPods case,
Quintin,5.0 out of 5 stars,Pretty clean and appealing :),"Reviewed in the United States 🇺🇸 on January 21, 2023",Verified Purchase,I liked how the AirPods were clean and allowed me to connect to find my AirPods with no one else’s I’d.,
Gavin LaFleche,5.0 out of 5 stars,"Clean, like new, real AirPods","Reviewed in the United States 🇺🇸 on December 25, 2022",Verified Purchase,Swag for being perfect condition and cheaper than new. I only bought them because the noise canceling,One person found this helpful
Christian,5.0 out of 5 stars,Excelente!!,"Reviewed in the United States 🇺🇸 on December 26, 2022",Verified Purchase,El producto es tal cual esperaba. Muy satisfecho y por un precio mucho más bajo.,
Clay Cordary,3.0 out of 5 stars,Noise Cancellation Carries These,"Reviewed in the United States 🇺🇸 on January 14, 2023",Verified Purchase,"Overall I'd say the only goodside to these headphones is the noice cancellation, they sound very decent but don't really get loud enough for bass enthusiasts at all.",
nicolas,5.0 out of 5 stars,Condition 9.5 out of 10,"Reviewed in the United States 🇺🇸 on January 1, 2023",Verified Purchase,Condition 9.5 out of 10,
Sydney Beattie,3.0 out of 5 stars,Strange Rattling Noise,"Reviewed in the United States 🇺🇸 on January 27, 2023",Verified Purchase,My earbuds have a rattling noise when they move or play music,
Wanda Derua,5.0 out of 5 stars,A good purchase,"Reviewed in the United States 🇺🇸 on December 6, 2022",Verified Purchase,"I really like the AirPod Pros. So far a great purchase. The sound quality is excellent, cancellation is on point battery life is good but could be just a little bit better. But all in all a great item.",3 people found this helpful
JR,5.0 out of 5 stars,I Should've Bought These Sooner,"Reviewed in the United States 🇺🇸 on October 27, 2022",Verified Purchase,"I am an Apple skeptic and I love these. I held off not purchasing any AirPods until my PowerBeats Pros finally died on me and I thought I'd give the AirPods a chance. I am an immediate convert. My concern was that they would not stay in my ear as I ran. Their lightness makes it so that they do not risk falling out of my ears at all. I am used to needing a wraparound earbud style, but these worked great. The noise cancelling is almost too good.",9 people found this helpful
VE-642267 Francisco Arleo,5.0 out of 5 stars,Just perfect,"Reviewed in the United States 🇺🇸 on December 26, 2022",Verified Purchase,Can't go out or to a meeting without them.,
Michelle S,3.0 out of 5 stars,Broken,"Reviewed in the United States 🇺🇸 on January 4, 2023",Verified Purchase,The right ear didn't work at all I returned them a week ago and haven't heard anything yet and I'm still waiting on my refund,
Sky,3.0 out of 5 stars,mismatched airpods,"Reviewed in the United States 🇺🇸 on January 9, 2023",Verified Purchase,i cant track the location because it says that the airpods arent in the original case pretty annoying otherwise good though,
Russ,4.0 out of 5 stars,It is a renewed item after all.,"Reviewed in the United States 🇺🇸 on September 4, 2022",Verified Purchase,"Could have done with some instructions or over some documentation -all I got was the storage box/charging cable in a plastic bag.
Harder for an oldie to sort things out.",4 people found this helpful
Jasmine,3.0 out of 5 stars,Mismatched pods,"Reviewed in the United States 🇺🇸 on January 2, 2023",Verified Purchase,They work just fine and amazing quality however I was sent mismatched pods and now I can’t track them on find my,
Brittany,4.0 out of 5 stars,Most of the bad reviews are on “good” or “acceptable” condition.,"Reviewed in the United States 🇺🇸 on September 1, 2022",Verified Purchase,Great for price i ordered the excellent condition for a little over $140 and they are pretty much brand new. everything in the box nothing wrong with it,4 people found this helpful
anonymously,5.0 out of 5 stars,good quality,"Reviewed in the United States 🇺🇸 on November 23, 2022",Verified Purchase,"everything needed came with it and it was clean, box was a bit dirty but it doesn't really matter.
airpods work well and connected to my phone with no issues.
airpods charged and case came dead but what can i do 😭🤷",4 people found this helpful
Alex Monroy,4.0 out of 5 stars,I like it,"Reviewed in the United States 🇺🇸 on September 23, 2022",Verified Purchase,I like how fit in my ear,
Gina,5.0 out of 5 stars,Great fit and size and sound,"Reviewed in the United States 🇺🇸 on May 13, 2021",Verified Purchase,"So I was nervous buying renewed apple. I love apple ipad and phones and wanted to get buds.. and the pro’s are the way to go. Let start out with the size of these.. they fit in ears better and aren’t as long so not sticking out so far. The buds go right in no falling out and they are kind of hard to get the tips off, so you won’t lose them. They give you a couple tips for sizes.
Now let’s talk about sound ..10.. nice bass and clarity and they let you hear people while listening to music, you can hear around you. But now I say this for the people that listen to music like I do, full blast, probably be deaf when I get older, but I don’t care what they say about you hear everything, NO.. so you can hear alittle when your music is full blast may a peep. But if you keep you music at medium level and are in college, you can hear your teacher talk while listen to music. Just focus.. LOL
Also, another note. Charging doc or case. It great for charging them when you are out in about. Also I some times like to use just 1 at a time due to I listen to loud music, so it charges one at a time, you don’t hav to charge both and I like how your phone state’s battery life of bud and charger/doc.",
Rachael Brown,5.0 out of 5 stars,Works great,"Reviewed in the United States 🇺🇸 on December 18, 2022",Verified Purchase,Works perfect even though they are refurbished. Good value!,One person found this helpful
Steven rice,2.0 out of 5 stars,Renewed is refurbished with limited warranty. Read fine print.,"Reviewed in the United States 🇺🇸 on February 21, 2023",Verified Purchase,"Even thought they were refurbished like new/good condition came with dents on right earbud, stopped working 3 months in after connection issues and, 8 months in the case now displays a blinking amber light which means connection issue. I’ve factory reset, fully charged them, and every Apple suggested fix with no luck. $200 for used refurbished AirPod pros that last 8 months……contacted seller after 8 months with this response “SO sorry to hear that, your 90 day warranty for exchange is past” you decide if you’d rather shell out the extra to buy new with a full warranty. You get what you pay for… I’ve learned my lesson on used electronics from this seller…..",
chet d.,4.0 out of 5 stars,Best so far,"Reviewed in the United States 🇺🇸 on September 5, 2022",Verified Purchase,I have tried 2 other brands and these are the best ones so far,
Megan Grigsby,4.0 out of 5 stars,Do not recommend for a spoiled wife.,"Reviewed in the United States 🇺🇸 on July 31, 2022",Verified Purchase,"I bought these for my husband and he LOVES them! BUT my only issue is I think he's broken now. When I talk all I get from him is ""huh?"" ""What'd you say babe?"" If you're a spoiled wife DO NOT buy these 🤣",16 people found this helpful
Valerie,5.0 out of 5 stars,Works perfectly!,"Reviewed in the United States 🇺🇸 on December 5, 2022",Verified Purchase,It works perfectly. I bought it for my daughter and she loves it and has had no issues with it.,
Vinicio Bolanos,4.0 out of 5 stars,Buen sonido. Buen product,"Reviewed in the United States 🇺🇸 on September 15, 2022",Verified Purchase,Buen producto. Buen sonido VB importaciones,
Mason,3.0 out of 5 stars,Working condition but poor battery life,"Reviewed in the United States 🇺🇸 on December 14, 2022",Verified Purchase,Disappointed. The airpods are in excellent condition but the charging case won't hold a charge for longer than a few hours.,
Robert P. Hansen,5.0 out of 5 stars,Incredible!,"Reviewed in the United States 🇺🇸 on September 8, 2022",Verified Purchase,"I lost my brand new apple airpod pro earphones. This was not only upsetting but it’s the one thing that is not covered is lose. I also could not afford another brand new pair. I saw the refurbished Apple airpod pro and the price was great . I watched a YouTube “TRVIS MCP review and he was not a apple fan ,but raved about the refurbished air pod pro. I am so pleased not only is the sound incredible it’s somehow better with my last apple air pod pro. Thank you sellers they’re great",6 people found this helpful
Skyler Beatty,5.0 out of 5 stars,Money well spent,"Reviewed in the United States 🇺🇸 on May 13, 2022",Verified Purchase,"I was hesitant to purchase the AirPod Pros at first, but as soon I as began to use them, I realized it was a worthy investment. I use them almost everyday, and they make my life much more exciting. As a college student, I wear them walking across campus while I listen to upbeat music in between stressful classes. I will put them in my ears and turn on a song, and it makes me feel like I am in a movie. They help to put my mind at ease and unwind. The noise-cancelling feature is mind-boggling given the size and comfort compared to other noise-cancelling headphones. I have shown my grandparents, and they were in awe of the quality of sound and comfort. Additionally, the case is practical to carry with me and the battery life to time charging ratio makes them readily avaliable to use.",
Elliana,5.0 out of 5 stars,"awesome, couldn’t live without them","Reviewed in the United States 🇺🇸 on October 23, 2022",Verified Purchase,"i use them all the time for school, watching shows, and just listening to music or scrolling on tiktok. the sound quality is really good and perfect for everyday use. people say not to trust the refurbished products but mine came wrapped and perfectly good, but with a cheaper price",One person found this helpful
Dylan,3.0 out of 5 stars,Not clean,"Reviewed in the United States 🇺🇸 on August 9, 2022",Verified Purchase,Over all the air pods work definitely I got them renewed in “excellent” quality. When I order that I expect to barely be able to tell that they have been out of the box before or maybe have been used one or twice. When I got mine the first thing I noticed was the outside was sticky. As if there was an adhesive from a previous sticker. That was annoying definitely but the worst part was when I opened the air pods and looked at one and inside the ear bud there was ear wax…. There was also ear wax in the bottom of the holders for the ear buds. Over all I am disappointed and disgusting. I did a deep clean myself and I hope no one else has to clean out strangers ear wax.,2 people found this helpful
